Level	Power	Power (Calculated)	Upgrade	Forge Hammer
99	2,452,500	2,452,500	99 » 100	90
100	2,497,500	2,497,500	100 » 101	95
101	2,545,000	2,545,000	101 » 102	95
102	2,592,500	2,592,500	102 » 103	95
103	2,640,000	2,640,000	103 » 104	95
104	2,687,500	2,687,500	104 » 105	95
105	2,735,000	2,735,000	105 » 106	95
106	2,782,500	2,782,500	106 » 107	95
107	2,830,000	2,830,000	107 » 108	100
108	2,880,000	2,880,000	108 » 109	100
109	2,930,000	2,930,000	109 » 110	100
110	2,980,000	2,980,000	110 » 111	100
111	3,030,000	3,030,000	111 » 112	100
112	3,080,000	3,080,000	112 » 113	100
113	3,130,000	3,130,000	113 » 114	105
114	3,182,500	3,182,500	114 » 115	105
115	3,235,000	3,235,000	115 » 116	105
116	3,287,500	3,287,500	116 » 117	105
117	3,340,000	3,340,000	117 » 118	105
118	3,392,500	3,392,500	118 » 119	105
119	3,445,000	3,445,000	119 » 120	110
120	3,500,000	3,500,000	120 » 121	110
121	3,555,000	3,555,000	121 » 122	110
122	3,610,000	3,610,000	122 » 123	110
123	3,665,000	3,665,000	123 » 124	110
124	3,720,000	3,720,000	124 » 125	110
125	3,775,000	3,775,000	125 » 126	115
126	3,832,500	3,832,500	126 » 127	115
127	3,890,000	3,890,000	127 » 128	115
128	3,947,500	3,947,500	128 » 129	115
129	4,005,000	4,005,000	129 » 130	115
130	4,062,500	4,062,500	130 » 131	115
131	4,120,000	4,120,000	131 » 132	115
132	4,177,500	4,177,500	132 » 133	120
133	4,237,500	4,237,500	133 » 134	120
134	4,297,500	4,297,500	134 » 135	120
135	4,357,500	4,357,500	135 » 136	120
136	4,417,500	4,417,500	136 » 137	120
137	4,477,500	4,477,500	137 » 138	120
138	4,537,500	4,537,500	138 » 139	125
139	4,600,000	4,600,000	139 » 140	125
140	4,662,500	4,662,500	140 » 141	125
141	4,725,000	4,725,000	141 » 142	125
142	4,787,500	4,787,500	142 » 143	125
143	4,850,000	4,850,000	143 » 144	125
144	4,912,500	4,912,500	144 » 145	125
145	4,975,000	4,975,000	145 » 146	130
146	5,040,000	5,040,000	146 » 147	130
147	5,105,000	5,105,000	147 » 148	130
148	5,170,000	5,170,000	148 » 149	130
149	5,235,000	5,235,000	149 » 150	130
150	5,300,000	5,300,000	150 » 151	130
151	5,365,000	5,365,000	151 » 152	135
152	5,432,500	5,432,500	152 » 153	135
153	5,500,000	5,500,000	153 » 154	135
154	5,567,500	5,567,500	154 » 155	135
155	5,635,000	5,635,000	155 » 156	135
156	5,702,500	5,702,500	156 » 157	135
157	5,770,000	5,770,000	157 » 158	135
158	5,837,500	5,837,500	158 » 159	140
159	5,907,500	5,907,500	159 » 160	140
160	5,977,500	5,977,500	160 » 161	140
161	6,047,500	6,047,500	161 » 162	140
162	6,117,500	6,117,500	162 » 163	140
163	6,187,500	6,187,500	163 » 164	140
164	6,257,500	6,257,500	164 » 165	145
165	6,330,000	6,330,000	165 » 166	145
166	6,402,500	6,402,500	166 » 167	145
167	6,475,000	6,475,000	167 » 168	145
168	6,547,500	6,547,500	168 » 169	145
169	6,620,000	6,620,000	169 » 170	145
170	6,692,500	6,692,500	170 » 171	145
171	6,765,000	6,765,000	171 » 172	150
172	6,840,000	6,840,000	172 » 173	150
173	6,915,000	6,915,000	173 » 174	150
174	6,990,000	6,990,000	174 » 175	150
175	7,065,000	7,065,000	175 » 176	150
176	7,140,000	7,140,000	176 » 177	150
177	7,215,000	7,215,000	177 » 178	155
178	7,292,500	7,292,500	178 » 179	155
179	7,370,000	7,370,000	179 » 180	155
180	7,447,500	7,447,500	180 » 181	155
181	7,525,000	7,525,000	181 » 182	155
182	7,602,500	7,602,500	182 » 183	155
183	7,680,000	7,680,000	183 » 184	155
184	7,757,500	7,757,500	184 » 185	160
185	7,837,500	7,837,500	185 » 186	160
186	7,917,500	7,917,500	186 » 187	160
187	7,997,500	7,997,500	187 » 188	160
188	8,077,500	8,077,500	188 » 189	160
189	8,157,500	8,157,500	189 » 190	160
190	8,237,500	8,237,500	190 » 191	160
191	8,317,500	8,317,500	191 » 192	165
192	8,400,000	8,400,000	192 » 193	165
193	8,482,500	8,482,500	193 » 194	165
194	8,565,000	8,565,000	194 » 195	165
195	8,647,500	8,647,500	195 » 196	165
196	8,730,000	8,730,000	196 » 197	165
197	8,812,500	8,812,500	197 » 198	170
198	8,897,500	8,897,500	198 » 199	170
199	8,982,500	8,982,500	199 » 200	170
200	9,067,500	9,067,500	200 » 201	170
201	9,152,500	9,152,500	201 » 202	170
202	9,237,500	9,237,500	202 » 203	170
203	9,322,500	9,322,500	203 » 204	170
204	9,407,500	9,407,500	204 » 205	175
205	9,495,000	9,495,000	205 » 206	175
206	9,582,500	9,582,500	206 » 207	175
207	9,670,000	9,670,000	207 » 208	175
208	9,757,500	9,757,500	208 » 209	175
209	9,845,000	9,845,000	209 » 210	175
210	9,932,500	9,932,500	210 » 211	175
211	10,020,000	10,020,000	211 » 212	180
212	10,110,000	10,110,000	212 » 213	180
213	10,200,000	10,200,000	213 » 214	180
214	10,290,000	10,290,000	214 » 215	180
215	10,380,000	10,380,000	215 » 216	180
216	10,470,000	10,470,000	216 » 217	180
217	10,560,000	10,560,000	217 » 218	185
218	10,652,500	10,652,500	218 » 219	185
219	10,745,000	10,745,000	219 » 220	185
220	10,837,500	10,837,500	220 » 221	185
221	10,930,000	10,930,000	221 » 222	185
222	11,022,500	11,022,500	222 » 223	185
223	11,115,000	11,115,000	223 » 224	185
224	11,207,500	11,207,500	224 » 225	190
225	11,302,500	11,302,500	225 » 226	190
226	11,397,500	11,397,500	226 » 227	190
227	11,492,500	11,492,500	227 » 228	190
228	11,587,500	11,587,500	228 » 229	190
229	11,682,500	11,682,500	229 » 230	190
230	11,777,500	11,777,500	230 » 231	190
231	11,872,500	11,872,500	231 » 232	195
232	11,970,000	11,970,000	232 » 233	195
233	12,067,500	12,067,500	233 » 234	195
234	12,165,000	12,165,000	234 » 235	195
235	12,262,500	12,262,500	235 » 236	195
236	12,360,000	12,360,000	236 » 237	195
237	12,457,500	12,457,500	237 » 238	200
238	12,557,500	12,557,500	238 » 239	200
239	12,657,500	12,657,500	239 » 240	200
240	12,757,500	12,757,500	240 » 241	200
241	12,857,500	12,857,500	241 » 242	200
242	12,957,500	12,957,500	242 » 243	200
243	13,057,500	13,057,500	243 » 244	200
244	13,157,500	13,157,500	244 » 245	205
245	13,260,000	13,260,000	245 » 246	205
246	13,362,500	13,362,500	246 » 247	205
247	13,465,000	13,465,000	247 » 248	205
248	13,567,500	13,567,500	248 » 249	205
249	13,670,000	13,670,000	249 » 250	205
250	13,772,500	13,772,500	250 » 251	205
251	13,875,000	13,875,000	251 » 252	210
252	13,980,000	13,980,000	252 » 253	210
253	14,085,000	14,085,000	253 » 254	210
254	14,190,000	14,190,000	254 » 255	210
255	14,295,000	14,295,000	255 » 256	210
256	14,400,000	14,400,000	256 » 257	210
257	14,505,000	14,505,000	257 » 258	210
258	14,610,000	14,610,000	258 » 259	215
259	14,717,500	14,717,500	259 » 260	215
260	14,825,000	14,825,000	260 » 261	215
261	14,932,500	14,932,500	261 » 262	215
262	15,040,000	15,040,000	262 » 263	215
263	15,147,500	15,147,500	263 » 264	215
264	15,255,000	15,255,000	264 » 265	215
265	15,362,500	15,362,500	265 » 266	220
266	15,472,500	15,472,500	266 » 267	220
267	15,582,500	15,582,500	267 » 268	220
268	15,692,500	15,692,500	268 » 269	220
269	15,802,500	15,802,500	269 » 270	220
270	15,912,500	15,912,500	270 » 271	220
271	16,022,500	16,022,500	271 » 272	220
272	16,132,500	16,132,500	272 » 273	225
273	16,245,000	16,245,000	273 » 274	225
274	16,357,500	16,357,500	274 » 275	225
275	16,470,000	16,470,000	275 » 276	225
276	16,582,500	16,582,500	276 » 277	225
277	16,695,000	16,695,000	277 » 278	225
278	16,807,500	16,807,500	278 » 279	230
279	16,922,500	16,922,500	279 » 280	230
280	17,037,500	17,037,500	280 » 281	230
281	17,152,500	17,152,500	281 » 282	230
282	17,267,500	17,267,500	282 » 283	230
283	17,382,500	17,382,500	283 » 284	230
284	17,497,500	17,497,500	284 » 285	230
285	17,612,500	17,612,500	285 » 286	235
286	17,730,000	17,730,000	286 » 287	235
287	17,847,500	17,847,500	287 » 288	235
288	17,965,000	17,965,000	288 » 289	235
289	18,082,500	18,082,500	289 » 290	235
290	18,200,000	18,200,000	290 » 291	235
291	18,317,500	18,317,500	291 » 292	235
292	18,435,000	18,435,000	292 » 293	240
293	18,555,000	18,555,000	293 » 294	240
294	18,675,000	18,675,000	294 » 295	240
295	18,795,000	18,795,000	295 » 296	240
296	18,915,000	18,915,000	296 » 297	240
297	19,035,000	19,035,000	297 » 298	240
298	19,155,000	19,155,000	298 » 299	240
299	19,275,000	19,275,000	299 » 300	245
300	19,397,500	19,397,500	300 » 301	245
301	19,520,000	19,520,000	301 » 302	245
302	19,642,500	19,642,500	302 » 303	245
303	19,765,000	19,765,000	303 » 304	245
304	19,887,500	19,887,500	304 » 305	245
305	20,010,000	20,010,000	305 » 306	245
306	20,132,500	20,132,500	306 » 307	250
307	20,257,500	20,257,500	307 » 308	250
308	20,382,500	20,382,500	308 » 309	250
309	20,507,500	20,507,500	309 » 310	250
310	20,632,500	20,632,500	310 » 311	250
311	20,757,500	20,757,500	311 » 312	250
312	20,882,500	20,882,500	312 » 313	250
313	21,007,500	21,007,500	313 » 314	255
314	21,135,000	21,135,000	314 » 315	255
315	21,262,500	21,262,500	315 » 316	255
316	21,390,000	21,390,000	316 » 317	255
317	21,517,500	21,517,500	317 » 318	255
318	21,645,000	21,645,000	318 » 319	255
319	21,772,500	21,772,500	319 » 320	255
320	21,900,000	21,900,000	320 » 321	260
321	22,030,000	22,030,000	321 » 322	260
322	22,160,000	22,160,000	322 » 323	260
323	22,290,000	22,290,000	323 » 324	260
324	22,420,000	22,420,000	324 » 325	260
325	22,550,000	22,550,000	325 » 326	260
326	22,680,000	22,680,000	326 » 327	260
327	22,810,000	22,810,000	327 » 328	265
328	22,942,500	22,942,500	328 » 329	265
329	23,075,000	23,075,000	329 » 330	265
330	23,207,500	23,207,500	330 » 331	265
331	23,340,000	23,340,000	331 » 332	265
332	23,472,500	23,472,500	332 » 333	265
333	23,605,000	23,605,000	333 » 334	265
334	23,737,500	23,737,500	334 » 335	270
335	23,872,500	23,872,500	335 » 336	270
336	24,007,500	24,007,500	336 » 337	270
337	24,142,500	24,142,500	337 » 338	270
338	24,277,500	24,277,500	338 » 339	270
339	24,412,500	24,412,500	339 » 340	270
340	24,547,500	24,547,500	340 » 341	270
341	24,682,500	24,682,500	341 » 342	275
342	24,820,000	24,820,000	342 » 343	275
343	24,957,500	24,957,500	343 » 344	275
344	25,095,000	25,095,000	344 » 345	275
345	25,232,500	25,232,500	345 » 346	275
346	25,370,000	25,370,000	346 » 347	275
347	25,507,500	25,507,500	347 » 348	275
348	25,645,000	25,645,000	348 » 349	280
349	25,785,000	25,785,000	349 » 350	280
350	25,925,000	25,925,000	350 » 351	280
351	26,065,000	26,065,000	351 » 352	280
352	26,205,000	26,205,000	352 » 353	280
353	26,345,000	26,345,000	353 » 354	280
354	26,485,000	26,485,000	354 » 355	280
355	26,625,000	26,625,000	355 » 356	285
356	26,767,500	26,767,500	356 » 357	285
357	26,910,000	26,910,000	357 » 358	285
358	27,052,500	27,052,500	358 » 359	285
359	27,195,000	27,195,000	359 » 360	285
360	27,337,500	27,337,500	360 » 361	285
361	27,480,000	27,480,000	361 » 362	285
362	27,622,500	27,622,500	362 » 363	290
363	27,767,500	27,767,500	363 » 364	290
364	27,912,500	27,912,500	364 » 365	290
365	28,057,500	28,057,500	365 » 366	290
366	28,202,500	28,202,500	366 » 367	290
367	28,347,500	28,347,500	367 » 368	290
368	28,492,500	28,492,500	368 » 369	290
369	28,637,500	28,637,500	369 » 370	295
370	28,785,000	28,785,000	370 » 371	295
371	28,932,500	28,932,500	371 » 372	295
372	29,080,000	29,080,000	372 » 373	295
373	29,227,500	29,227,500	373 » 374	295
374	29,375,000	29,375,000	374 » 375	295
375	29,522,500	29,522,500	375 » 376	295
376	29,670,000	29,670,000	376 » 377	300
377	29,820,000	29,820,000	377 » 378	300
378	29,970,000	29,970,000	378 » 379	300
379	30,120,000	30,120,000	379 » 380	300
380	30,270,000	30,270,000	380 » 381	300
381	30,420,000	30,420,000	381 » 382	300
382	30,570,000	30,570,000	382 » 383	300
383	30,720,000	30,720,000	383 » 384	300
384	30,870,000	30,870,000	384 » 385	305
385	31,022,500	31,022,500	385 » 386	305
386	31,175,000	31,175,000	386 » 387	305
387	31,327,500	31,327,500	387 » 388	305
388	31,480,000	31,480,000	388 » 389	305
389	31,632,500	31,632,500	389 » 390	305
390	31,785,000	31,785,000	390 » 391	305
391	31,937,500	31,937,500	391 » 392	310
392	32,092,500	32,092,500	392 » 393	310
393	32,247,500	32,247,500	393 » 394	310
394	32,402,500	32,402,500	394 » 395	310
395	32,557,500	32,557,500	395 » 396	310
396	32,712,500	32,712,500	396 » 397	310
397	32,867,500	32,867,500	397 » 398	310
398	33,022,500	33,022,500	398 » 399	315
399	33,180,000	33,180,000	399 » 400	315
400	33,337,500	33,337,500	400 » 401	315
401	33,495,000	33,495,000	401 » 402	315
402	33,652,500	33,652,500	402 » 403	315
403	33,810,000	33,810,000	403 » 404	315
404	33,967,500	33,967,500	404 » 405	315
405	34,125,000	34,125,000	405 » 406	320
406	34,285,000	34,285,000	406 » 407	320
407	34,445,000	34,445,000	407 » 408	320
408	34,605,000	34,605,000	408 » 409	320
409	34,765,000	34,765,000	409 » 410	320
410	34,925,000	34,925,000	410 » 411	320
411	35,085,000	35,085,000	411 » 412	320
412	35,245,000	35,245,000	412 » 413	325
413	35,407,500	35,407,500	413 » 414	325
414	35,570,000	35,570,000	414 » 415	325
415	35,732,500	35,732,500	415 » 416	325
416	35,895,000	35,895,000	416 » 417	325
417	36,057,500	36,057,500	417 » 418	325
418	36,220,000	36,220,000	418 » 419	325
419	36,382,500	36,382,500	419 » 420	330
420	36,547,500	36,547,500	420 » 421	330
421	36,712,500	36,712,500	421 » 422	330
422	36,877,500	36,877,500	422 » 423	330
423	37,042,500	37,042,500	423 » 424	330
424	37,207,500	37,207,500	424 » 425	330
425	37,372,500	37,372,500	425 » 426	330
426	37,537,500	37,537,500	426 » 427	335
427	37,705,000	37,705,000	427 » 428	335
428	37,872,500	37,872,500	428 » 429	335
429	38,040,000	38,040,000	429 » 430	335
430	38,207,500	38,207,500	430 » 431	335
431	38,375,000	38,375,000	431 » 432	335
432	38,542,500	38,542,500	432 » 433	335
433	38,710,000	38,710,000	433 » 434	335
434	38,877,500	38,877,500	434 » 435	340
435	39,047,500	39,047,500	435 » 436	340
436	39,217,500	39,217,500	436 » 437	340
437	39,387,500	39,387,500	437 » 438	340
438	39,557,500	39,557,500	438 » 439	340
439	39,727,500	39,727,500	439 » 440	340
440	39,897,500	39,897,500	440 » 441	340
441	40,067,500	40,067,500	441 » 442	345
442	40,240,000	40,240,000	442 » 443	345
443	40,412,500	40,412,500	443 » 444	345
444	40,585,000	40,585,000	444 » 445	345
445	40,757,500	40,757,500	445 » 446	345
446	40,930,000	40,930,000	446 » 447	345
447	41,102,500	41,102,500	447 » 448	345
448	41,275,000	41,275,000	448 » 449	350
449	41,450,000	41,450,000	449 » 450	350
450	41,625,000	41,625,000	450 » 451	350
451	41,800,000	41,800,000	451 » 452	350
452	41,975,000	41,975,000	452 » 453	350
453	42,150,000	42,150,000	453 » 454	350
454	42,325,000	42,325,000	454 » 455	350
455	42,500,000	42,500,000	455 » 456	355
456	42,677,500	42,677,500	456 » 457	355
457	42,855,000	42,855,000	457 » 458	355
458	43,032,500	43,032,500	458 » 459	355
459	43,210,000	43,210,000	459 » 460	355
460	43,387,500	43,387,500	460 » 461	355
461	43,565,000	43,565,000	461 » 462	355
462	43,742,500	43,742,500	462 » 463	355
463	43,920,000	43,920,000	463 » 464	360
464	44,100,000	44,100,000	464 » 465	360
465	44,280,000	44,280,000	465 » 466	360
466	44,460,000	44,460,000	466 » 467	360
467	44,640,000	44,640,000	467 » 468	360
468	44,820,000	44,820,000	468 » 469	360
469	45,000,000	45,000,000	469 » 470	360
470	45,180,000	45,180,000	470 » 471	365
471	45,362,500	45,362,500	471 » 472	365
472	45,545,000	45,545,000	472 » 473	365
473	45,727,500	45,727,500	473 » 474	365
474	45,910,000	45,910,000	474 » 475	365
475	46,092,500	46,092,500	475 » 476	365
476	46,275,000	46,275,000	476 » 477	365
477	46,457,500	46,457,500	477 » 478	370
478	46,642,500	46,642,500	478 » 479	370
479	46,827,500	46,827,500	479 » 480	370
480	47,012,500	47,012,500	480 » 481	370
481	47,197,500	47,197,500	481 » 482	370
482	47,382,500	47,382,500	482 » 483	370
483	47,567,500	47,567,500	483 » 484	370
484	47,752,500	47,752,500	484 » 485	375
485	47,940,000	47,940,000	485 » 486	375
486	48,127,500	48,127,500	486 » 487	375
487	48,315,000	48,315,000	487 » 488	375
488	48,502,500	48,502,500	488 » 489	375
489	48,690,000	48,690,000	489 » 490	375
490	48,877,500	48,877,500	490 » 491	375
491	49,065,000	49,065,000	491 » 492	375
492	49,252,500	49,252,500	492 » 493	380
493	49,442,500	49,442,500	493 » 494	380
494	49,632,500	49,632,500	494 » 495	380
495	49,822,500	49,822,500	495 » 496	380
496	50,012,500	50,012,500	496 » 497	380
497	50,202,500	50,202,500	497 » 498	380
498	50,392,500	50,392,500	498 » 499	380
499	50,582,500	50,582,500	499 » 500	385
500	50,775,000	50,775,000	500 » 501	385
501	50,967,500	50,967,500	501 » 502	385
502	51,160,000	51,160,000	502 » 503	385
503	51,352,500	51,352,500	503 » 504	385
504	51,545,000	51,545,000	504 » 505	385
505	51,737,500	51,737,500	505 » 506	385
506	51,930,000	51,930,000	506 » 507	390
507	52,125,000	52,125,000	507 » 508	390
508	52,320,000	52,320,000	508 » 509	390
509	52,515,000	52,515,000	509 » 510	390
510	52,710,000	52,710,000	510 » 511	390
511	52,905,000	52,905,000	511 » 512	390
512	53,100,000	53,100,000	512 » 513	390
513	53,295,000	53,295,000	513 » 514	390
514	53,490,000	53,490,000	514 » 515	395
515	53,687,500	53,687,500	515 » 516	395
516	53,885,000	53,885,000	516 » 517	395
517	54,082,500	54,082,500	517 » 518	395
518	54,280,000	54,280,000	518 » 519	395
519	54,477,500	54,477,500	519 » 520	395
520	54,675,000	54,675,000	520 » 521	395
521	54,872,500	54,872,500	521 » 522	400
522	55,072,500	55,072,500	522 » 523	400
523	55,272,500	55,272,500	523 » 524	400
524	55,472,500	55,472,500	524 » 525	400
525	55,672,500	55,672,500	525 » 526	400
526	55,872,500	55,872,500	526 » 527	400
527	56,072,500	56,072,500	527 » 528	400
528	56,272,500	56,272,500	528 » 529	405
529	56,475,000	56,475,000	529 » 530	405
530	56,677,500	56,677,500	530 » 531	405
531	56,880,000	56,880,000	531 » 532	405
532	57,082,500	57,082,500	532 » 533	405
533	57,285,000	57,285,000	533 » 534	405
534	57,487,500	57,487,500	534 » 535	405
535	57,690,000	57,690,000	535 » 536	405
536	57,892,500	57,892,500	536 » 537	410
537	58,097,500	58,097,500	537 » 538	410
538	58,302,500	58,302,500	538 » 539	410
539	58,507,500	58,507,500	539 » 540	410
540	58,712,500	58,712,500	540 » 541	410
541	58,917,500	58,917,500	541 » 542	410
542	59,122,500	59,122,500	542 » 543	410
543	59,327,500	59,327,500	543 » 544	415
544	59,535,000	59,535,000	544 » 545	415
545	59,742,500	59,742,500	545 » 546	415
546	59,950,000	59,950,000	546 » 547	415
547	60,157,500	60,157,500	547 » 548	415
548	60,365,000	60,365,000	548 » 549	415
549	60,572,500	60,572,500	549 » 550	415
550	60,780,000	60,780,000	550 » 551	420
551	60,990,000	60,990,000	551 » 552	420
552	61,200,000	61,200,000	552 » 553	420
553	61,410,000	61,410,000	553 » 554	420
554	61,620,000	61,620,000	554 » 555	420
555	61,830,000	61,830,000	555 » 556	420
556	62,040,000	62,040,000	556 » 557	420
557	62,250,000	62,250,000	557 » 558	420
558	62,460,000	62,460,000	558 » 559	425
559	62,672,500	62,672,500	559 » 560	425
560	62,885,000	62,885,000	560 » 561	425
561	63,097,500	63,097,500	561 » 562	425
562	63,310,000	63,310,000	562 » 563	425
563	63,522,500	63,522,500	563 » 564	425
564	63,735,000	63,735,000	564 » 565	425
565	63,947,500	63,947,500	565 » 566	430
566	64,162,500	64,162,500	566 » 567	430
567	64,377,500	64,377,500	567 » 568	430
568	64,592,500	64,592,500	568 » 569	430
569	64,807,500	64,807,500	569 » 570	430
570	65,022,500	65,022,500	570 » 571	430
571	65,237,500	65,237,500	571 » 572	430
572	65,452,500	65,452,500	572 » 573	435
573	65,670,000	65,670,000	573 » 574	435
574	65,887,500	65,887,500	574 » 575	435
575	66,105,000	66,105,000	575 » 576	435
576	66,322,500	66,322,500	576 » 577	435
577	66,540,000	66,540,000	577 » 578	435
578	66,757,500	66,757,500	578 » 579	435
579	66,975,000	66,975,000	579 » 580	435
580	67,192,500	67,192,500	580 » 581	440
581	67,412,500	67,412,500	581 » 582	440
582	67,632,500	67,632,500	582 » 583	440
583	67,852,500	67,852,500	583 » 584	440
584	68,072,500	68,072,500	584 » 585	440
585	68,292,500	68,292,500	585 » 586	440
586	68,512,500	68,512,500	586 » 587	440
587	68,732,500	68,732,500	587 » 588	445
588	68,955,000	68,955,000	588 » 589	445
589	69,177,500	69,177,500	589 » 590	445
590	69,400,000	69,400,000	590 » 591	445
591	69,622,500	69,622,500	591 » 592	445
592	69,845,000	69,845,000	592 » 593	445
593	70,067,500	70,067,500	593 » 594	445
594	70,290,000	70,290,000	594 » 595	445
595	70,512,500	70,512,500	595 » 596	450
596	70,737,500	70,737,500	596 » 597	450
597	70,962,500	70,962,500	597 » 598	450
598	71,187,500	71,187,500	598 » 599	450
599	71,412,500	71,412,500	599 » 600	450
600	71,637,500	71,637,500	600 » 601	450
601	71,862,500	71,862,500	601 » 602	450
602	72,087,500	72,087,500	602 » 603	455
603	72,315,000	72,315,000	603 » 604	455
604	72,542,500	72,542,500	604 » 605	455
605	72,770,000	72,770,000	605 » 606	455
606	72,997,500	72,997,500	606 » 607	455
607	73,225,000	73,225,000	607 » 608	455
608	73,452,500	73,452,500	608 » 609	455
609	73,680,000	73,680,000	609 » 610	455
610	73,907,500	73,907,500	610 » 611	460
611	74,137,500	74,137,500	611 » 612	460
612	74,367,500	74,367,500	612 » 613	460
613	74,597,500	74,597,500	613 » 614	460
614	74,827,500	74,827,500	614 » 615	460
615	75,057,500	75,057,500	615 » 616	460
616	75,287,500	75,287,500	616 » 617	460
617	75,517,500	75,517,500	617 » 618	465
618	75,750,000	75,750,000	618 » 619	465
619	75,982,500	75,982,500	619 » 620	465
620	76,215,000	76,215,000	620 » 621	465
621	76,447,500	76,447,500	621 » 622	465
622	76,680,000	76,680,000	622 » 623	465
623	76,912,500	76,912,500	623 » 624	465
624	77,145,000	77,145,000	624 » 625	465
625	77,377,500	77,377,500	625 » 626	470
626	77,612,500	77,612,500	626 » 627	470
627	77,847,500	77,847,500	627 » 628	470
628	78,082,500	78,082,500	628 » 629	470
629	78,317,500	78,317,500	629 » 630	470
630	78,552,500	78,552,500	630 » 631	470
631	78,787,500	78,787,500	631 » 632	470
632	79,022,500	79,022,500	632 » 633	475
633	79,260,000	79,260,000	633 » 634	475
634	79,497,500	79,497,500	634 » 635	475
635	79,735,000	79,735,000	635 » 636	475
636	79,972,500	79,972,500	636 » 637	475
637	80,210,000	80,210,000	637 » 638	475
638	80,447,500	80,447,500	638 » 639	475
639	80,685,000	80,685,000	639 » 640	480
640	80,925,000	80,925,000	640 » 641	480
641	81,165,000	81,165,000	641 » 642	480
642	81,405,000	81,405,000	642 » 643	480
643	81,645,000	81,645,000	643 » 644	480
644	81,885,000	81,885,000	644 » 645	480
