Level	Dark Power	Castle Level	Upgrade Cost	Dark Regent
86	5,173,000	43	86 » 87	
87	5,278,000	44	87 » 88	
88	5,383,000	44	88 » 89	
89	5,488,000	45	89 » 90	
90	5,593,000	45	90 » 91	
91	5,705,000	46	91 » 92	1,200
92	5,817,000	46	92 » 93	
93	5,929,000	47	93 » 94	
94	6,041,000	47	94 » 95	
95	6,153,000	48	95 » 96	
96	6,265,000	48	96 » 97	
97	6,377,000	49	97 » 98	
98	6,496,000	49	98 » 99	
99	6,615,000	50	99 » 100	
100	6,734,000	50	100 » 101	
101	6,853,000	51	101 » 102	
102	6,972,000	51	102 » 103	
103	7,091,000	52	103 » 104	
104	7,210,000	52	104 » 105	
105	7,329,000	53	105 » 106	
106	7,455,000	53	106 » 107	
107	7,581,000	54	107 » 108	
108	7,707,000	54	108 » 109	
109	7,833,000	55	109 » 110	
110	7,959,000	55	110 » 111	
111	8,085,000	56	111 » 112	
112	8,211,000	56	112 » 113	
113	8,337,000	57	113 » 114	
114	8,470,000	57	114 » 115	
115	8,603,000	58	115 » 116	
116	8,736,000	58	116 » 117	
117	8,869,000	59	117 » 118	
118	9,002,000	59	118 » 119	
119	9,135,000	60	119 » 120	
120	9,268,000	60	120 » 121	
121	9,401,000	61	121 » 122	
122	9,541,000	61	122 » 123	
123	9,681,000	62	123 » 124	
124	9,821,000	62	124 » 125	
125	9,961,000	63	125 » 126	
126	10,101,000	63	126 » 127	
127	10,241,000	64	127 » 128	
128	10,381,000	64	128 » 129	
129	10,521,000	65	129 » 130	
130	10,668,000	65	130 » 131	
131	10,815,000	66	131 » 132	
132	10,962,000	66	132 » 133	
133	11,109,000	67	133 » 134	
134	11,256,000	67	134 » 135	
135	11,403,000	68	135 » 136	
136	11,550,000	68	136 » 137	
137	11,697,000	69	137 » 138	
138	11,851,000	69	138 » 139	
139	12,005,000	70	139 » 140	
140	12,159,000	70	140 » 141	
141	12,313,000	71	141 » 142	
142	12,467,000	71	142 » 143	
143	12,621,000	72	143 » 144	
144	12,775,000	72	144 » 145	
145	12,929,000	73	145 » 146	
146	13,090,000	73	146 » 147	
147	13,251,000	74	147 » 148	
148	13,412,000	74	148 » 149	
149	13,573,000	75	149 » 150	
150	13,734,000	75	150 » 151	
151	13,895,000	76	151 » 152	
152	14,056,000	76	152 » 153	
153	14,217,000	77	153 » 154	
154	14,385,000	77	154 » 155	
155	14,553,000	78	155 » 156	
156	14,721,000	78	156 » 157	
157	14,889,000	79	157 » 158	
158	15,057,000	79	158 » 159	
159	15,225,000	80	159 » 160	
160	15,393,000	80	160 » 161	
161	15,561,000	81	161 » 162	
162	15,729,000	81	162 » 163	
163	15,904,000	82	163 » 164	
164	16,079,000	82	164 » 165	
165	16,254,000	83	165 » 166	
166	16,429,000	83	166 » 167	
167	16,604,000	84	167 » 168	
168	16,779,000	84	168 » 169	
169	16,954,000	85	169 » 170	
170	17,129,000	85	170 » 171	
171	17,311,000	86	171 » 172	
172	17,493,000	86	172 » 173	
173	17,675,000	87	173 » 174	
174	17,857,000	87	174 » 175	
175	18,039,000	88	175 » 176	
176	18,221,000	88	176 » 177	
177	18,403,000	89	177 » 178	
178	18,585,000	89	178 » 179	
179	18,767,000	90	179 » 180	
180	18,956,000	90	180 » 181	
181	19,145,000	91	181 » 182	
182	19,334,000	91	182 » 183	
183	19,523,000	92	183 » 184	
184	19,712,000	92	184 » 185	
185	19,901,000	93	185 » 186	
186	20,090,000	93	186 » 187	
187	20,279,000	94	187 » 188	
188	20,475,000	94	188 » 189	
189	20,671,000	95	189 » 190	
190	20,867,000	95	190 » 191	
191	21,063,000	96	191 » 192	
192	21,259,000	96	192 » 193	
193	21,455,000	97	193 » 194	
194	21,651,000	97	194 » 195	
195	21,847,000	98	195 » 196	
196	22,043,000	98	196 » 197	
197	22,246,000	99	197 » 198	
198	22,449,000	99	198 » 199	
199	22,652,000	100	199 » 200	
200	22,855,000	100	200 » 201	
201	23,058,000	101	201 » 202	
202	23,261,000	101	202 » 203	
203	23,464,000	102	203 » 204	
204	23,667,000	102	204 » 205	
205	23,870,000	103	205 » 206	
206	24,080,000	103	206 » 207	
207	24,290,000	104	207 » 208	
208	24,500,000	104	208 » 209	
209	24,710,000	105	209 » 210	
210	24,920,000	105	210 » 211	
211	25,130,000	106	211 » 212	
212	25,340,000	106	212 » 213	
213	25,550,000	107	213 » 214	
214	25,760,000	107	214 » 215	
215	25,977,000	108	215 » 216	
216	26,194,000	108	216 » 217	
217	26,411,000	109	217 » 218	
218	26,628,000	109	218 » 219	
219	26,845,000	110	219 » 220	
220	27,062,000	110	220 » 221	
221	27,279,000	111	221 » 222	
222	27,496,000	111	222 » 223	
223	27,713,000	112	223 » 224	
224	27,937,000	112	224 » 225	
225	28,161,000	113	225 » 226	
226	28,385,000	113	226 » 227	
227	28,609,000	114	227 » 228	
228	28,833,000	114	228 » 229	
229	29,057,000	115	229 » 230	
230	29,281,000	115	230 » 231	
231	29,505,000	116	231 » 232	
232	29,729,000	116	232 » 233	
233	29,960,000	117	233 » 234	
234	30,191,000	117	234 » 235	
235	30,422,000	118	235 » 236	
236	30,653,000	118	236 » 237	
237	30,884,000	119	237 » 238	
238	31,115,000	119	238 » 239	
239	31,346,000	120	239 » 240	
240	31,577,000	120	240 » 241	
241	31,808,000	121	241 » 242	
242	32,046,000	121	242 » 243	
243	32,284,000	122	243 » 244	
244	32,522,000	122	244 » 245	
245	32,760,000	123	245 » 246	
246	32,998,000	123	246 » 247	
247	33,236,000	124	247 » 248	
248	33,474,000	124	248 » 249	
249	33,712,000	125	249 » 250	
250	33,950,000	125	250 » 251	
251	34,195,000	126	251 » 252	
252	34,440,000	126	252 » 253	
253	34,685,000	127	253 » 254	
254	34,930,000	127	254 » 255	
255	35,175,000	128	255 » 256	
256	35,420,000	128	256 » 257	
257	35,665,000	129	257 » 258	
258	35,910,000	129	258 » 259	
259	36,155,000	130	259 » 260	
260	36,400,000	130	260 » 261	
261	36,652,000	131	261 » 262	
262	36,904,000	131	262 » 263	
263	37,156,000	132	263 » 264	
264	37,408,000	132	264 » 265	
265	37,660,000	133	265 » 266	
266	37,912,000	133	266 » 267	
267	38,164,000	134	267 » 268	
268	38,416,000	134	268 » 269	
269	38,668,000	135	269 » 270	
270	38,927,000	135	270 » 271	
271	39,186,000	136	271 » 272	
272	39,445,000	136	272 » 273	
273	39,704,000	137	273 » 274	
274	39,963,000	137	274 » 275	
275	40,222,000	138	275 » 276	
276	40,481,000	138	276 » 277	
277	40,740,000	139	277 » 278	
278	40,999,000	139	278 » 279	
279	41,265,000	140	279 » 280	
280	41,531,000	140	280 » 281	
281	41,797,000	141	281 » 282	
282	42,063,000	141	282 » 283	
283	42,329,000	142	283 » 284	
284	42,595,000	142	284 » 285	
285	42,861,000	143	285 » 286	
286	43,127,000	143	286 » 287	
287	43,393,000	144	287 » 288	
288	43,659,000	144	288 » 289	
289	43,932,000	145	289 » 290	
290	44,205,000	145	290 » 291	
291	44,478,000	146	291 » 292	
292	44,751,000	146	292 » 293	
293	45,024,000	147	293 » 294	
294	45,297,000	147	294 » 295	
295	45,570,000	148	295 » 296	
296	45,843,000	148	296 » 297	
297	46,116,000	149	297 » 298	
298	46,396,000	149	298 » 299	
299	46,676,000	150	299 » 300	
300	46,956,000	150	300 » 301	
301	47,236,000	151	301 » 302	
302	47,516,000	151	302 » 303	
303	47,796,000	152	303 » 304	
304	48,076,000	152	304 » 305	
305	48,356,000	153	305 » 306	
306	48,636,000	153	306 » 307	
307	48,916,000	154	307 » 308	
308	49,203,000	154	308 » 309	
309	49,490,000	155	309 » 310	
310	49,777,000	155	310 » 311	
311	50,064,000	156	311 » 312	
312	50,351,000	156	312 » 313	
313	50,638,000	157	313 » 314	
314	50,925,000	157	314 » 315	
315	51,212,000	158	315 » 316	
316	51,499,000	158	316 » 317	
317	51,793,000	159	317 » 318	
318	52,087,000	159	318 » 319	
319	52,381,000	160	319 » 320	
320	52,675,000	160	320 » 321	
321	52,969,000	161	321 » 322	
322	53,263,000	161	322 » 323	
323	53,557,000	162	323 » 324	
324	53,851,000	162	324 » 325	
325	54,145,000	163	325 » 326	
326	54,439,000	163	326 » 327	
327	54,740,000	164	327 » 328	
328	55,041,000	164	328 » 329	
329	55,342,000	165	329 » 330	
330	55,643,000	165	330 » 331	
331	55,944,000	166	331 » 332	
332	56,245,000	166	332 » 333	
333	56,546,000	167	333 » 334	
334	56,847,000	167	334 » 335	
335	57,148,000	168	335 » 336	
336	57,449,000	168	336 » 337	
337	57,757,000	169	337 » 338	
338	58,065,000	169	338 » 339	
339	58,373,000	170	339 » 340	
340	58,681,000	170	340 » 341	
341	58,989,000	171	341 » 342	
342	59,297,000	171	342 » 343	
343	59,605,000	172	343 » 344	
344	59,913,000	172	344 » 345	
345	60,221,000	173	345 » 346	
346	60,529,000	173	346 » 347	5,700
347	60,844,000	174	347 » 348	
348	61,159,000	174	348 » 349	
349	61,474,000	175	349 » 350	
350	61,789,000	175	350 » 351	
351	62,104,000	176	351 » 352	
352	62,419,000	176	352 » 353	
353	62,734,000	177	353 » 354	
354	63,049,000	177	354 » 355	
355	63,364,000	178	355 » 356	
356	63,686,000	178	356 » 357	
357	64,008,000	179	357 » 358	
358	64,330,000	179	358 » 359	
359	64,652,000	180	359 » 360	
360	64,974,000	180	360 » 361	
361	65,296,000	181	361 » 362	
362	65,618,000	181	362 » 363	
363	65,940,000	182	363 » 364	
364	66,262,000	182	364 » 365	
365	66,584,000	183	365 » 366	
366	66,913,000	183	366 » 367	
367	67,242,000	184	367 » 368	
368	67,571,000	184	368 » 369	
369	67,900,000	185	369 » 370	
370	68,229,000	185	370 » 371	
371	68,558,000	186	371 » 372	
372	68,887,000	186	372 » 373	
373	69,216,000	187	373 » 374	
374	69,545,000	187	374 » 375	
375	69,874,000	188	375 » 376	
376	70,210,000	188	376 » 377	
377	70,546,000	189	377 » 378	
378	70,882,000	189	378 » 379	
379	71,218,000	190	379 » 380	
380	71,554,000	190	380 » 381	
381	71,890,000	191	381 » 382	
382	72,226,000	191	382 » 383	
383	72,562,000	192	383 » 384	
384	72,898,000	192	384 » 385	
385	73,234,000	193	385 » 386	
386	73,577,000	193	386 » 387	
387	73,920,000	194	387 » 388	
388	74,263,000	194	388 » 389	
389	74,606,000	195	389 » 390	
390	74,949,000	195	390 » 391	
391	75,292,000	196	391 » 392	
392	75,635,000	196	392 » 393	
393	75,978,000	197	393 » 394	
394	76,321,000	197	394 » 395	
395	76,664,000	198	395 » 396	
396	77,014,000	198	396 » 397	
397	77,364,000	199	397 » 398	
398	77,714,000	199	398 » 399	
399	78,064,000	200	399 » 400	
400	78,414,000	200	400 » 401	
401	78,764,000	201	401 » 402	
402	79,114,000	201	402 » 403	
403	79,464,000	202	403 » 404	
404	79,814,000	202	404 » 405	
405	80,164,000	203	405 » 406	
406	80,514,000	203	406 » 407	
407	80,871,000	204	407 » 408	
408	81,228,000	204	408 » 409	
409	81,585,000	205	409 » 410	
410	81,942,000	205	410 » 411	7,000
411	82,299,000	206	411 » 412	7,000
412	82,656,000	206	412 » 413	7,000
413	83,013,000	207	413 » 414	7,000
414	83,370,000	207	414 » 415	
415	83,727,000	208	415 » 416	
416	84,084,000	208	416 » 417	
417	84,448,000	209	417 » 418	
418	84,812,000	209	418 » 419	
419	85,176,000	210	419 » 420	
420	85,540,000	210	420 » 421	
421	85,904,000	211	421 » 422	
422	86,268,000	211	422 » 423	
423	86,632,000	212	423 » 424	
424	86,996,000	212	424 » 425	
425	87,360,000	213	425 » 426	
426	87,724,000	213	426 » 427	
427	88,095,000	214	427 » 428	
428	88,466,000	214	428 » 429	
429	88,837,000	215	429 » 430	
430	89,208,000	215	430 » 431	
431	89,579,000	216	431 » 432	
432	89,950,000	216	432 » 433	
433	90,321,000	217	433 » 434	
434	90,692,000	217	434 » 435	
435	91,063,000	218	435 » 436	
436	91,434,000	218	436 » 437	
437	91,812,000	219	437 » 438	
438	92,190,000	219	438 » 439	
439	92,568,000	220	439 » 440	
440	92,946,000	220	440 » 441	
441	93,324,000	221	441 » 442	
442	93,702,000	221	442 » 443	
443	94,080,000	222	443 » 444	
444	94,458,000	222	444 » 445	
445	94,836,000	223	445 » 446	
446	95,214,000	223	446 » 447	
447	95,592,000	224	447 » 448	
448	95,977,000	224	448 » 449	
449	96,362,000	225	449 » 450	
450	96,747,000	225	450 » 451	
451	97,132,000	226	451 » 452	
452	97,517,000	226	452 » 453	
453	97,902,000	227	453 » 454	7,800
454	98,287,000	227	454 » 455	
455	98,672,000	228	455 » 456	
456	99,057,000	228	456 » 457	
457	99,442,000	229	457 » 458	
458	99,834,000	229	458 » 459	
459	100,226,000	230	459 » 460	
460	100,618,000	230	460 » 461	
461	101,010,000	231	461 » 462	
462	101,402,000	231	462 » 463	
463	101,794,000	232	463 » 464	
464	102,186,000	232	464 » 465	
465	102,578,000	233	465 » 466	
466	102,970,000	233	466 » 467	
467	103,362,000	234	467 » 468	
468	103,761,000	234	468 » 469	
469	104,160,000	235	469 » 470	
470	104,559,000	235	470 » 471	
471	104,958,000	236	471 » 472	
472	105,357,000	236	472 » 473	
473	105,756,000	237	473 » 474	
474	106,155,000	237	474 » 475	
475	106,554,000	238	475 » 476	
476	106,953,000	238	476 » 477	
477	107,352,000	239	477 » 478	
478	107,751,000	239	478 » 479	
479	108,157,000	240	479 » 480	
480	108,563,000	240	480 » 481	
481	108,969,000	241	481 » 482	
482	109,375,000	241	482 » 483	
483	109,781,000	242	483 » 484	
484	110,187,000	242	484 » 485	
485	110,593,000	243	485 » 486	
486	110,999,000	243	486 » 487	
487	111,405,000	244	487 » 488	
488	111,811,000	244	488 » 489	
489	112,224,000	245	489 » 490	
490	112,637,000	245	490 » 491	
491	113,050,000	246	491 » 492	
492	113,463,000	246	492 » 493	
493	113,876,000	247	493 » 494	
494	114,289,000	247	494 » 495	
495	114,702,000	248	495 » 496	
496	115,115,000	248	496 » 497	
497	115,528,000	249	497 » 498	
498	115,941,000	249	498 » 499	
499	116,354,000	250	499 » 500	
500	116,774,000	250	500 » 501	
501	117,194,000	251	501 » 502	
502	117,614,000	251	502 » 503	
503	118,034,000	252	503 » 504	
504	118,454,000	252	504 » 505	
505	118,874,000	253	505 » 506	
506	119,294,000	253	506 » 507	
507	119,714,000	254	507 » 508	
508	120,134,000	254	508 » 509	
509	120,554,000	255	509 » 510	
510	120,974,000	255	510 » 511	
511	121,401,000	256	511 » 512	
512	121,828,000	256	512 » 513	
513	122,255,000	257	513 » 514	
514	122,682,000	257	514 » 515	
515	123,109,000	258	515 » 516	
516	123,536,000	258	516 » 517	
517	123,963,000	259	517 » 518	
518	124,390,000	259	518 » 519	
519	124,817,000	260	519 » 520	
520	125,244,000	260	520 » 521	
521	125,678,000	261	521 » 522	
522	126,112,000	261	522 » 523	
523	126,546,000	262	523 » 524	
524	126,980,000	262	524 » 525	
525	127,414,000	263	525 » 526	
526	127,848,000	263	526 » 527	
527	128,282,000	264	527 » 528	9,400
528	128,716,000	264	528 » 529	
529	129,150,000	265	529 » 530	
530	129,584,000	265	530 » 531	
531	130,018,000	266	531 » 532	
532	130,459,000	266	532 » 533	
533	130,900,000	267	533 » 534	
534	131,341,000	267	534 » 535	
535	131,782,000	268	535 » 536	
536	132,223,000	268	536 » 537	
537	132,664,000	269	537 » 538	
538	133,105,000	269	538 » 539	
539	133,546,000	270	539 » 540	
540	133,987,000	270	540 » 541	
541	134,428,000	271	541 » 542	
542	134,868,992	271	542 » 543	
543	135,316,992	272	543 » 544	
544	135,764,992	272	544 » 545	
545	136,212,992	273	545 » 546	
546	136,660,992	273	546 » 547	
547	137,108,992	274	547 » 548	
548	137,556,992	274	548 » 549	
549	138,004,992	275	549 » 550	
550	138,452,992	275	550 » 551	
551	138,900,992	276	551 » 552	
552	139,348,992	276	552 » 553	
553	139,804,000	277	553 » 554	
554	140,259,008	277	554 » 555	
555	140,714,000	278	555 » 556	
556	141,168,992	278	556 » 557	
557	141,624,000	279	557 » 558	
558	142,079,008	279	558 » 559	
559	142,534,000	280	559 » 560	
560	142,988,992	280	560 » 561	
561	143,444,000	281	561 » 562	
562	143,899,008	281	562 » 563	
563	144,354,000	282	563 » 564	
564	144,816,000	282	564 » 565	
565	145,278,000	283	565 » 566	
566	145,740,000	283	566 » 567	
567	146,202,000	284	567 » 568	
568	146,664,000	284	568 » 569	
569	147,126,000	285	569 » 570	
570	147,588,000	285	570 » 571	
571	148,050,000	286	571 » 572	
572	148,512,000	286	572 » 573	
573	148,974,000	287	573 » 574	
574	149,436,000	287	574 » 575	
575	149,904,992	288	575 » 576	
576	150,374,000	288	576 » 577	
577	150,843,008	289	577 » 578	
578	151,312,000	289	578 » 579	
579	151,780,992	290	579 » 580	
580	152,250,000	290	580 » 581	
581	152,719,008	291	581 » 582	
582	153,188,000	291	582 » 583	
583	153,656,992	292	583 » 584	
584	154,126,000	292	584 » 585	
585	154,595,008	293	585 » 586	
586	155,071,008	293	586 » 587	
587	155,547,008	294	587 » 588	
588	156,023,008	294	588 » 589	
589	156,499,008	295	589 » 590	
590	156,975,008	295	590 » 591	
591	157,451,008	296	591 » 592	
592	157,927,008	296	592 » 593	
593	158,403,008	297	593 » 594	
594	158,879,008	297	594 » 595	
595	159,355,008	298	595 » 596	
596	159,831,008	298	596 » 597	
597	160,314,000	299	597 » 598	
598	160,796,992	299	598 » 599	
599	161,280,000	300	599 » 600	
600	161,763,008	300	600 » 601	
601	162,246,000	301	601 » 602	
602	162,728,992	301	602 » 603	
603	163,212,000	302	603 » 604	
604	163,695,008	302	604 » 605	
605	164,178,000	303	605 » 606	
606	164,660,992	303	606 » 607	
607	165,144,000	304	607 » 608	
608	165,634,000	304	608 » 609	
609	166,124,000	305	609 » 610	
610	166,614,000	305	610 » 611	
611	167,104,000	306	611 » 612	
612	167,594,000	306	612 » 613	
613	168,084,000	307	613 » 614	
614	168,574,000	307	614 » 615	
615	169,064,000	308	615 » 616	
616	169,554,000	308	616 » 617	
617	170,044,000	309	617 » 618	
618	170,534,000	309	618 » 619	
619	171,031,008	310	619 » 620	
620	171,528,000	310	620 » 621	
621	172,024,992	311	621 » 622	
622	172,522,000	311	622 » 623	
623	173,019,008	312	623 » 624	
624	173,516,000	312	624 » 625	
625	174,012,992	313	625 » 626	
626	174,510,000	313	626 » 627	
627	175,007,008	314	627 » 628	
628	175,504,000	314	628 » 629	
629	176,000,992	315	629 » 630	
630	176,504,992	315	630 » 631	
631	177,008,992	316	631 » 632	
632	177,512,992	316	632 » 633	
633	178,016,992	317	633 » 634	
634	178,520,992	317	634 » 635	
635	179,024,992	318	635 » 636	
636	179,528,992	318	636 » 637	
637	180,032,992	319	637 » 638	
638	180,536,992	319	638 » 639	
639	181,040,992	320	639 » 640	
640	181,544,992	320	640 » 641	
641	182,056,000	321	641 » 642	
642	182,567,008	321	642 » 643	
643	183,078,000	322	643 » 644	
644	183,588,992	322	644 » 645	
645	184,100,000	323	645 » 646	
646	184,611,008	323	646 » 647	
647	185,122,000	324	647 » 648	
648	185,632,992	324	648 » 649	
649	186,144,000	325	649 » 650	
650	186,655,008	325	650 » 651	
651	187,166,000	326	651 » 652	
652	187,684,000	326	652 » 653	
653	188,202,000	327	653 » 654	
654	188,720,000	327	654 » 655	
655	189,238,000	328	655 » 656	
656	189,756,000	328	656 » 657	
657	190,274,000	329	657 » 658	
658	190,792,000	329	658 » 659	
659	191,310,000	330	659 » 660	
660	191,828,000	330	660 » 661	
661	192,346,000	331	661 » 662	
662	192,864,000	331	662 » 663	
663	193,388,992	332	663 » 664	
664	193,914,000	332	664 » 665	
665	194,439,008	333	665 » 666	
666	194,964,000	333	666 » 667	
667	195,488,992	334	667 » 668	
668	196,014,000	334	668 » 669	
669	196,539,008	335	669 » 670	
670	197,064,000	335	670 » 671	
671	197,588,992	336	671 » 672	
672	198,114,000	336	672 » 673	
673	198,639,008	337	673 » 674	
674	199,164,000	337	674 » 675	
675	199,696,000	338	675 » 676	
676	200,228,000	338	676 » 677	
677	200,760,000	339	677 » 678	
678	201,292,000	339	678 » 679	
679	201,824,000	340	679 » 680	
680	202,356,000	340	680 » 681	
681	202,888,000	341	681 » 682	
682	203,420,000	341	682 » 683	
683	203,952,000	342	683 » 684	
684	204,484,000	342	684 » 685	
685	205,016,000	343	685 » 686	
686	205,555,008	343	686 » 687	
687	206,094,000	344	687 » 688	
688	206,632,992	344	688 » 689	
689	207,172,000	345	689 » 690	
690	207,711,008	345	690 » 691	
691	208,250,000	346	691 » 692	
692	208,788,992	346	692 » 693	
693	209,328,000	347	693 » 694	
694	209,867,008	347	694 » 695	
695	210,406,000	348	695 » 696	
696	210,944,992	348	696 » 697	
697	211,491,008	349	697 » 698	
698	212,036,992	349	698 » 699	
699	212,583,008	350	699 » 700	
700	213,128,992	350	700 » 701	
701	213,675,008	351	701 » 702	
702	214,220,992	351	702 » 703	
703	214,767,008	352	703 » 704	
704	215,312,992	352	704 » 705	
705	215,859,008	353	705 » 706	
706	216,404,992	353	706 » 707	
707	216,951,008	354	707 » 708	
708	217,504,000	354	708 » 709	
709	218,056,992	355	709 » 710	
710	218,610,000	355	710 » 711	
711	219,163,008	356	711 » 712	
712	219,716,000	356	712 » 713	
713	220,268,992	357	713 » 714	
714	220,822,000	357	714 » 715	
715	221,375,008	358	715 » 716	
716	221,928,000	358	716 » 717	
717	222,480,992	359	717 » 718	
718	223,034,000	359	718 » 719	
719	223,587,008	360	719 » 720	
720	224,147,008	360	720 » 721	
721	224,707,008	361	721 » 722	
722	225,267,008	361	722 » 723	
723	225,827,008	362	723 » 724	
724	226,387,008	362	724 » 725	
725	226,947,008	363	725 » 726	
726	227,507,008	363	726 » 727	
727	228,067,008	364	727 » 728	
728	228,627,008	364	728 » 729	
729	229,187,008	365	729 » 730	
730	229,747,008	365	730 » 731	
731	230,314,000	366	731 » 732	
732	230,880,992	366	732 » 733	
733	231,448,000	367	733 » 734	
734	232,015,008	367	734 » 735	
735	232,582,000	368	735 » 736	
736	233,148,992	368	736 » 737	
737	233,716,000	369	737 » 738	
738	234,283,008	369	738 » 739	
739	234,850,000	370	739 » 740	
740	235,416,992	370	740 » 741	
741	235,984,000	371	741 » 742	
742	236,551,008	371	742 » 743	
743	237,124,992	372	743 » 744	
744	237,699,008	372	744 » 745	
745	238,272,992	373	745 » 746	
746	238,847,008	373	746 » 747	
747	239,420,992	374	747 » 748	
748	239,995,008	374	748 » 749	
749	240,568,992	375	749 » 750	
750	241,143,008	375	750 » 751	
751	241,716,992	376	751 » 752	
752	242,291,008	376	752 » 753	
753	242,864,992	377	753 » 754	
754	243,446,000	377	754 » 755	
755	244,027,008	378	755 » 756	
756	244,608,000	378	756 » 757	
757	245,188,992	379	757 » 758	
758	245,770,000	379	758 » 759	
759	246,351,008	380	759 » 760	
760	246,932,000	380	760 » 761	
761	247,512,992	381	761 » 762	
762	248,094,000	381	762 » 763	
763	248,675,008	382	763 » 764	
764	249,256,000	382	764 » 765	
765	249,836,992	383	765 » 766	
766	250,424,992	383	766 » 767	
767	251,012,992	384	767 » 768	
768	251,600,992	384	768 » 769	
769	252,188,992	385	769 » 770	
770	252,776,992	385	770 » 771	
771	253,364,992	386	771 » 772	
772	253,952,992	386	772 » 773	
773	254,540,992	387	773 » 774	
774	255,128,992	387	774 » 775	
775	255,716,992	388	775 » 776	
776	256,304,992	388	776 » 777	
777	256,900,000	389	777 » 778	
778	257,495,008	389	778 » 779	
779	258,090,000	390	779 » 780	
780	258,684,992	390	780 » 781	
781	259,280,000	391	781 » 782	
782	259,875,008	391	782 » 783	
783	260,470,000	392	783 » 784	
784	261,064,992	392	784 » 785	
785	261,660,000	393	785 » 786	
786	262,255,008	393	786 » 787	
787	262,850,000	394	787 » 788	
788	263,444,992	394	788 » 789	
789	264,047,008	395	789 » 790	
790	264,648,992	395	790 » 791	
791	265,251,008	396	791 » 792	
792	265,852,992	396	792 » 793	
793	266,455,008	397	793 » 794	
794	267,056,992	397	794 » 795	
795	267,659,008	398	795 » 796	
796	268,260,992	398	796 » 797	
797	268,863,008	399	797 » 798	
798	269,464,992	399	798 » 799	
799	270,067,008	400	799 » 800	
800	270,676,000	400	800 » 801	
801	271,284,992	401	801 » 802	
802	271,894,016	401	802 » 803	
803	272,503,008	402	803 » 804	
804	273,112,000	402	804 » 805	
805	273,720,992	403	805 » 806	
806	274,329,984	403	806 » 807	
807	274,939,008	404	807 » 808	
808	275,548,000	404	808 » 809	
809	276,156,992	405	809 » 810	
810	276,766,016	405	810 » 811	
811	277,375,008	406	811 » 812	
812	277,991,008	406	812 » 813	
813	278,607,008	407	813 » 814	
814	279,223,008	407	814 » 815	
815	279,839,008	408	815 » 816	
816	280,455,008	408	816 » 817	
817	281,071,008	409	817 » 818	
818	281,687,008	409	818 » 819	
819	282,303,008	410	819 » 820	
820	282,919,008	410	820 » 821	
