level	blacksmith base power	verified
154	5567500	TRUE
155	5635000	TRUE
156	5702500	TRUE
157	5770000	TRUE
158	5837500	TRUE
159	5907500	TRUE
160	5977500	TRUE
161	6047500	TRUE
162	6117500	TRUE
163	6187500	TRUE
164	6257500	TRUE
165	6330000	TRUE
166	6402500	TRUE
167	6475000	TRUE
168	6547500	TRUE
169	6620000	TRUE
170	6692500	TRUE
171	6765000	TRUE
172	6840000	TRUE
173	6915000	TRUE
174	6990000	TRUE
175	7065000	TRUE
176	7140000	TRUE
177	7215000	TRUE
178	7292500	TRUE
179	7370000	TRUE
180	7447500	TRUE
181	7525000	TRUE
182	7602500	TRUE
183	7680000	TRUE
184	7757500	TRUE
185	7837500	TRUE
186	7917500	TRUE
187	7997500	TRUE
188	8077500	TRUE
189	8157500	TRUE
190	8237500	TRUE
191	8317500	TRUE
192	8400000	TRUE
193	8482500	TRUE
194	8565000	TRUE
195	8647500	TRUE
196	8730000	TRUE
197	8812500	TRUE
198	8897500	TRUE
199	8982500	TRUE
200	9067500	TRUE
201	9152500	TRUE
202	9237500	TRUE
203	9322500	TRUE
204	9407500	TRUE
205	9495000	TRUE
206	9582500	TRUE
207	9670000	TRUE
208	9757500	TRUE
209	9845000	TRUE
210	9932500	TRUE
211	10020000	TRUE
212	10110000	TRUE
213	10200000	TRUE
214	10290000	TRUE
215	10380000	TRUE
216	10470000	TRUE
217	10560000	TRUE
218	10652500	TRUE
219	10745000	TRUE
220	10837500	TRUE
221	10930000	TRUE
222	11022500	TRUE
223	11115000	TRUE
224	11207500	TRUE
225	11302500	TRUE
226	11397500	TRUE
227	11492500	TRUE
228	11587500	TRUE
229	11682500	TRUE
230	11777500	TRUE
231	11872500	TRUE
232	11970000	TRUE
233	12067500	TRUE
234	12165000	TRUE
235	12262500	TRUE
236	12360000	TRUE
237	12457500	TRUE
238	12557500	TRUE
239	12657500	TRUE
240	12757500	TRUE
241	12857500	TRUE
242	12957500	TRUE
243	13057500	TRUE
244	13157500	TRUE
245	13260000	TRUE
246	13362500	TRUE
247	13465000	TRUE
248	13567500	TRUE
249	13670000	TRUE
250	13772500	TRUE
251	13875000	TRUE
252	13980000	TRUE
253	14085000	TRUE
254	14190000	TRUE
255	14295000	TRUE
256	14400000	TRUE
257	14505000	TRUE
258	14610000	TRUE
259	14717500	TRUE
260	14825000	TRUE
261	14932500	TRUE
262	15040000	TRUE
263	15147500	TRUE
264	15255000	TRUE
265	15362500	TRUE
266	15472500	TRUE
267	15582500	TRUE
268	15692500	TRUE
269	15802500	TRUE
270	15912500	TRUE
271	16022500	TRUE
272	16132500	TRUE
273	16245000	TRUE
274	16357500	TRUE
275	16470000	TRUE
276	16582500	TRUE
277	16695000	TRUE
278	16807500	TRUE
279	16922500	TRUE
280	17037500	TRUE
281	17152500	TRUE
282	17267500	TRUE
283	17382500	TRUE
284	17497500	TRUE
285	17612500	TRUE
286	17730000	TRUE
287	17847500	TRUE
288	17965000	TRUE
289	18082500	TRUE
290	18200000	TRUE
291	18317500	TRUE
292	18435000	TRUE
293	18555000	TRUE
294	18675000	TRUE
295	18795000	TRUE
296	18915000	TRUE
297	19035000	TRUE
298	19155000	TRUE
299	19275000	TRUE
300	19397500	TRUE
301	19520000	TRUE
302	19642500	TRUE
303	19765000	TRUE
304	19887500	TRUE
305	20010000	TRUE
306	20132500	TRUE
307	20257500	TRUE
308	20382500	TRUE
309	20507500	TRUE
310	20632500	TRUE
311	20757500	TRUE
312	20882500	TRUE
313	21007500	TRUE
314	21135000	TRUE
315	21262500	TRUE
316	21390000	TRUE
317	21517500	TRUE
318	21645000	TRUE
319	21772500	TRUE
320	21900000	TRUE
321	22030000	TRUE
322	22160000	TRUE
323	22290000	TRUE
324	22420000	TRUE
325	22550000	TRUE
326	22680000	TRUE
327	22810000	TRUE
328	22942500	TRUE
329	23075000	TRUE
330	23207500	TRUE
331	23340000	TRUE
332	23472500	TRUE
333	23605000	TRUE
334	23737500	TRUE
335	23872500	TRUE
336	24007500	TRUE
337	24142500	TRUE
338	24277500	TRUE
339	24412500	TRUE
340	24547500	TRUE
341	24682500	TRUE
342	24820000	TRUE
343	24957500	TRUE
344	25095000	TRUE
345	25232500	TRUE
346	25370000	TRUE
347	25507500	TRUE
348	25645000	TRUE
349	25785000	TRUE
350	25925000	TRUE
351	26065000	TRUE
352	26205000	TRUE
353	26345000	TRUE
354	26485000	TRUE
355	26625000	TRUE
356	26767500	TRUE
357	26910000	TRUE
358	27052500	TRUE
359	27195000	TRUE
360	27337500	TRUE
361	27480000	TRUE
362	27622500	TRUE
363	27767500	TRUE
364	27912500	TRUE
365	28057500	TRUE
366	28202500	TRUE
367	28347500	TRUE
368	28492500	TRUE
369	28637500	TRUE
370	28785000	TRUE
371	28932500	TRUE
372	29080000	TRUE
373	29227500	TRUE
374	29375000	TRUE
375	29522500	TRUE
376	29670000	TRUE
377	29820000	TRUE
378	29970000	TRUE
379	30120000	TRUE
380	30270000	TRUE
381	30420000	TRUE
382	30570000	TRUE
383	30720000	TRUE
384	30870000	TRUE
385	31022500	TRUE
386	31175000	TRUE
387	31327500	TRUE
388	31480000	TRUE
389	31632500	TRUE
390	31785000	TRUE
391	31937500	TRUE
392	32092500	TRUE
393	32247500	TRUE
394	32402500	TRUE
395	32557500	TRUE
396	32712500	TRUE
397	32867500	TRUE
398	33022500	TRUE
399	33180000	TRUE
400	33337500	TRUE
401	33495000	TRUE
402	33652500	TRUE
403	33810000	TRUE
404	33967500	TRUE
405	34125000	TRUE
406	34285000	TRUE
407	34445000	TRUE
408	34605000	TRUE
409	34765000	TRUE
410	34925000	TRUE
411	35085000	TRUE
412	35245000	TRUE
413	35407500	TRUE
414	35570000	TRUE
415	35732500	TRUE
416	35895000	TRUE
417	36057500	TRUE
418	36220000	TRUE
419	36382500	TRUE
420	36547500	TRUE
421	36712500	TRUE
422	36877500	TRUE
423	37042500	TRUE
424	37207500	TRUE
425	37372500	TRUE
426	37537500	TRUE
427	37705000	TRUE
428	37872500	TRUE
429	38040000	TRUE
430	38207500	TRUE
431	38375000	TRUE
432	38542500	TRUE
433	38710000	TRUE
434	38877500	TRUE
435	39047500	TRUE
436	39217500	TRUE
437	39387500	TRUE
438	39557500	TRUE
439	39727500	TRUE
440	39897500	TRUE
441	40067500	TRUE
442	40240000	TRUE
443	40412500	TRUE
444	40585000	TRUE
445	40757500	TRUE
446	40930000	TRUE
447	41102500	TRUE
448	41275000	TRUE
449	41450000	TRUE
450	41625000	TRUE
451	41800000	TRUE
452	41975000	TRUE
453	42150000	TRUE
454	42325000	TRUE
455	42500000	TRUE
456	42677500	TRUE
457	42855000	TRUE
458	43032500	TRUE
459	43210000	TRUE
460	43387500	TRUE
461	43565000	TRUE
462	43742500	TRUE
463	43920000	TRUE
464	44100000	TRUE
465	44280000	TRUE
466	44460000	TRUE
467	44640000	TRUE
468	44820000	TRUE
469	45000000	TRUE
470	45180000	TRUE
471	45362500	TRUE
472	45545000	TRUE
473	45727500	TRUE
474	45910000	TRUE
475	46092500	TRUE
476	46275000	TRUE
477	46457500	TRUE
478	46642500	TRUE
479	46827500	TRUE
480	47012500	TRUE
481	47197500	TRUE
482	47382500	TRUE
483	47567500	TRUE
484	47752500	TRUE
485	47940000	TRUE
486	48127500	TRUE
487	48315000	TRUE
488	48502500	TRUE
489	48690000	TRUE
490	48877500	TRUE
491	49065000	TRUE
492	49252500	TRUE
493	49442500	TRUE
494	49632500	TRUE
495	49822500	TRUE
496	50012500	TRUE
497	50202500	TRUE
498	50392500	TRUE
499	50582500	TRUE
500	50775000	TRUE
501	50967500	TRUE
502	51160000	TRUE
503	51352500	TRUE
504	51545000	TRUE
505	51737500	TRUE
506	51930000	TRUE
507	52125000	TRUE
508	52320000	TRUE
509	52515000	TRUE
510	52710000	TRUE
511	52905000	TRUE
512	53100000	TRUE
513	53295000	TRUE
514	53490000	TRUE
515	53687500	TRUE
516	53885000	TRUE
517	54082500	TRUE
518	54280000	TRUE
519	54477500	TRUE
520	54675000	TRUE
521	54872500	TRUE
522	55072500	TRUE
523	55272500	TRUE
524	55472500	TRUE
525	55672500	TRUE
526	55872500	TRUE
527	56072500	TRUE
528	56272500	TRUE
529	56475000	TRUE
530	56677500	TRUE
531	56880000	TRUE
532	57082500	TRUE
533	57285000	TRUE
534	57487500	TRUE
535	57690000	TRUE
536	57892500	TRUE
537	58097500	TRUE
538	58302500	TRUE
539	58507500	TRUE
540	58712500	TRUE
541	58917500	TRUE
542	59122500	TRUE
543	59327500	TRUE
544	59535000	TRUE
545	59742500	TRUE
546	59950000	TRUE
547	60157500	TRUE
548	60365000	TRUE
549	60572500	TRUE
550	60780000	TRUE
551	60990000	TRUE
552	61200000	TRUE
553	61410000	TRUE
554	61620000	TRUE
555	61830000	TRUE
556	62040000	TRUE
557	62250000	TRUE
558	62460000	TRUE
559	62672500	TRUE
560	62885000	TRUE
561	63097500	TRUE
562	63310000	TRUE
563	63522500	TRUE
564	63735000	TRUE
565	63947500	TRUE
566	64162500	TRUE
567	64377500	TRUE
568	64592500	TRUE
569	64807500	TRUE
570	65022500	TRUE
571	65237500	TRUE
572	65452500	TRUE
573	65670000	TRUE
574	65887500	TRUE
575	66105000	TRUE
576	66322500	TRUE
577	66540000	TRUE
578	66757500	TRUE
579	66975000	TRUE
580	67192500	TRUE
581	67412500	TRUE
582	67632500	TRUE
583	67852500	TRUE
584	68072500	TRUE
585	68292500	TRUE
586	68512500	TRUE
587	68732500	TRUE
588	68955000	TRUE
589	69177500	TRUE
590	69400000	TRUE
591	69622500	TRUE
592	69845000	TRUE
593	70067500	TRUE
594	70290000	TRUE
595	70512500	TRUE
596	70737500	TRUE
597	70962500	TRUE
598	71187500	TRUE
599	71412500	TRUE
600	71637500	TRUE
601	71862500	TRUE
602	72087500	TRUE
603	72315000	TRUE
604	72542500	TRUE
605	72770000	TRUE
606	72997500	TRUE
607	73225000	TRUE
608	73452500	TRUE
609	73680000	TRUE
610	73907500	TRUE
611	74137500	TRUE
612	74367500	TRUE
613	74597500	TRUE
614	74827500	TRUE
615	75057500	TRUE
616	75287500	TRUE
617	75517500	TRUE
618	75750000	TRUE
619	75982500	TRUE
620	76215000	TRUE
621	76447500	TRUE
622	76680000	TRUE
623	76912500	TRUE
624	77145000	TRUE
625	77377500	TRUE
626	77612500	TRUE
627	77847500	TRUE
628	78082500	TRUE
629	78317500	TRUE
630	78552500	TRUE
631	78787500	TRUE
632	79022500	TRUE
633	79260000	TRUE
634	79497500	TRUE
635	79735000	TRUE
636	79972500	TRUE
637	80210000	TRUE
638	80447500	TRUE
639	80685000	TRUE
640	80925000	TRUE
641	81165000	TRUE
642	81405000	TRUE
643	81645000	TRUE
644	81885000	TRUE
645	82125000	TRUE
646	82365000	TRUE
647	82605000	TRUE
648	82847500	TRUE
649	83090000	TRUE
650	83332500	TRUE
651	83575000	TRUE
652	83817500	TRUE
653	84060000	TRUE
654	84302500	TRUE
655	84547500	TRUE
656	84792500	TRUE
657	85037500	TRUE
658	85282500	TRUE
659	85527500	TRUE
660	85772500	TRUE
661	86017500	TRUE
662	86262500	TRUE
663	86510000	TRUE
664	86757500	TRUE
665	87005000	TRUE
666	87252500	TRUE
667	87500000	TRUE
668	87747500	TRUE
669	87995000	TRUE
670	88245000	TRUE
671	88495000	TRUE
672	88745000	TRUE
673	88995000	TRUE
674	89245000	TRUE
675	89495000	TRUE
676	89745000	TRUE
677	89995000	TRUE
678	90247500	TRUE
679	90500000	TRUE
680	90752500	TRUE
681	91005000	TRUE
682	91257500	TRUE
683	91510000	TRUE
684	91762500	TRUE
685	92015000	TRUE
686	92270000	TRUE
687	92525000	TRUE
688	92780000	TRUE
689	93035000	TRUE
690	93290000	TRUE
691	93545000	TRUE
692	93800000	TRUE
693	94057500	TRUE
694	94315000	TRUE
695	94572500	TRUE
696	94830000	TRUE
697	95087500	TRUE
698	95345000	TRUE
699	95602500	TRUE
700	95860000	TRUE
701	96120000	TRUE
702	96380000	TRUE
703	96640000	TRUE
704	96900000	TRUE
705	97160000	TRUE
706	97420000	TRUE
707	97680000	TRUE
708	97942500	TRUE
709	98205000	TRUE
710	98467500	TRUE
711	98730000	TRUE
712	98992500	TRUE
713	99255000	TRUE
714	99517500	TRUE
715	99780000	TRUE
716	100045000	TRUE
717	100310000	TRUE
718	100575000	TRUE
719	100840000	TRUE
720	101105000	TRUE
721	101370000	TRUE
722	101635000	TRUE
723	101902500	TRUE
724	102170000	TRUE
725	102437500	TRUE
726	102705000	TRUE
727	102972500	TRUE
728	103240000	TRUE
729	103507500	TRUE
730	103775000	TRUE
731	104045000	TRUE
732	104315000	TRUE
733	104585000	TRUE
734	104855000	TRUE
735	105125000	TRUE
736	105395000	TRUE
737	105665000	TRUE
738	105937500	TRUE
739	106210000	TRUE
740	106482500	TRUE
741	106755000	TRUE
742	107027500	TRUE
743	107300000	TRUE
744	107572500	TRUE
745	107845000	TRUE
746	108120000	TRUE
747	108395000	TRUE
748	108670000	TRUE
749	108945000	TRUE
750	109220000	TRUE
751	109495000	TRUE
752	109770000	TRUE
753	110045000	TRUE
754	110322500	TRUE
755	110600000	TRUE
756	110877500	TRUE
757	111155000	TRUE
758	111432500	TRUE
759	111710000	TRUE
760	111987500	TRUE
761	112267500	TRUE
762	112547500	TRUE
763	112827500	TRUE
764	113107500	TRUE
765	113387500	TRUE
766	113667500	TRUE
767	113947500	TRUE
768	114227500	TRUE
769	114510000	TRUE
770	114792500	TRUE
771	115075000	TRUE
772	115357500	TRUE
773	115640000	TRUE
774	115922500	TRUE
775	116205000	TRUE
776	116487500	TRUE
777	116772500	TRUE
778	117057500	TRUE
779	117342500	TRUE
780	117627500	TRUE
781	117912500	TRUE
782	118197500	TRUE
783	118482500	TRUE
784	118770000	TRUE
785	119057500	TRUE
786	119345000	TRUE
787	119632500	TRUE
788	119920000	TRUE
789	120207500	TRUE
790	120495000	TRUE
791	120782500	TRUE
792	121072500	TRUE
793	121362500	TRUE
794	121652500	TRUE
795	121942500	TRUE
796	122232500	TRUE
797	122522500	TRUE
798	122812500	TRUE
799	123105000	TRUE
800	123397500	TRUE
801	123690000	TRUE
802	123982500	TRUE
803	124275000	TRUE
804	124567500	TRUE
805	124860000	TRUE
806	125152500	TRUE
807	125447500	TRUE
808	125742500	TRUE
809	126037500	TRUE
810	126332500	TRUE
811	126627500	TRUE
812	126922500	TRUE
813	127217500	TRUE
814	127512500	TRUE
815	127810000	TRUE
816	128107500	TRUE
817	128405000	TRUE
818	128702500	TRUE
819	129000000	TRUE
820	129297500	TRUE
821	129595000	TRUE
822	129895000	TRUE
823	130195000	TRUE
824	130495000	TRUE
825	130795000	TRUE
826	131095000	TRUE
827	131395000	TRUE
828	131695000	TRUE
829	131995000	TRUE
830	132297500	TRUE
831	132600000	TRUE
832	132902500	TRUE
833	133205000	TRUE
834	133507500	TRUE
835	133810000	TRUE
836	134112500	TRUE
837	134415000	TRUE
838	134720000	TRUE
839	135025000	TRUE
840	135330000	TRUE
841	135635000	TRUE
842	135940000	TRUE
843	136245000	TRUE
844	136550000	TRUE
845	136855000	TRUE
846	137162500	TRUE
847	137470000	TRUE
848	137777500	TRUE
849	138085000	TRUE
850	138392500	TRUE
851	138700000	TRUE
852	139007500	TRUE
853	139317500	TRUE
854	139627500	TRUE
855	139937500	TRUE
856	140247500	TRUE
857	140557500	TRUE
858	140867500	TRUE
859	141177500	TRUE
860	141487500	TRUE
861	141800000	TRUE
862	142112500	TRUE
863	142425000	TRUE
864	142737500	TRUE
865	143050000	TRUE
866	143362500	TRUE
867	143675000	TRUE
868	143987500	TRUE
869	144302500	TRUE
870	144617500	TRUE
871	144932500	TRUE
872	145247500	TRUE
873	145562500	TRUE
874	145877500	TRUE
875	146192500	TRUE
876	146510000	TRUE
877	146827500	TRUE
878	147145000	TRUE
879	147462500	TRUE
880	147780000	TRUE
881	148097500	TRUE
882	148415000	TRUE
883	148732500	TRUE
884	149052500	TRUE
885	149372500	TRUE
886	149692500	TRUE
887	150012500	TRUE
888	150332500	TRUE
889	150652500	TRUE
890	150972500	TRUE
891	151292500	TRUE
892	151615000	TRUE
893	151937500	TRUE
894	152260000	TRUE
895	152582500	TRUE
896	152905000	TRUE
897	153227500	TRUE
898	153550000	TRUE
899	153872500	TRUE
900	154197500	TRUE
901	154522500	TRUE
902	154847500	TRUE
903	155172500	TRUE
904	155497500	TRUE
905	155822500	TRUE
906	156147500	TRUE
907	156475000	TRUE
908	156802500	TRUE
909	157130000	TRUE
910	157457500	TRUE
911	157785000	TRUE
912	158112500	TRUE
913	158440000	TRUE
914	158767500	TRUE
915	159097500	TRUE
916	159427500	TRUE
917	159757500	TRUE
918	160087500	TRUE
919	160417500	TRUE
920	160747500	TRUE
921	161077500	TRUE
922	161407500	TRUE
923	161740000	TRUE
924	162072500	TRUE
925	162405000	TRUE
926	162737500	TRUE
927	163070000	TRUE
928	163402500	TRUE
929	163735000	TRUE
930	164067500	TRUE
931	164402500	TRUE
932	164737500	TRUE
933	165072500	TRUE
934	165407500	TRUE
935	165742500	TRUE
936	166077500	TRUE
937	166412500	TRUE
938	166750000	TRUE
939	167087500	TRUE
940	167425000	TRUE
941	167762500	TRUE
942	168100000	TRUE
943	168437500	TRUE
944	168775000	TRUE
945	169112500	TRUE
946	169452500	TRUE
947	169792500	TRUE
948	170132500	TRUE
949	170472500	TRUE
950	170812500	TRUE
951	171152500	TRUE
952	171492500	TRUE
953	171832500	TRUE
954	172175000	TRUE
955	172517500	TRUE
956	172860000	TRUE
957	173202500	TRUE
958	173545000	TRUE
959	173887500	TRUE
960	174230000	TRUE
961	174572500	TRUE
962	174917500	TRUE
963	175262500	TRUE
964	175607500	TRUE
965	175952500	TRUE
966	176297500	TRUE
967	176642500	TRUE
968	176987500	TRUE
969	177332500	TRUE
970	177680000	TRUE
971	178027500	TRUE
972	178375000	TRUE
973	178722500	TRUE
974	179070000	TRUE
975	179417500	TRUE
976	179765000	TRUE
977	180115000	TRUE
978	180465000	TRUE
979	180815000	TRUE
980	181165000	TRUE
981	181515000	TRUE
982	181865000	TRUE
983	182215000	TRUE
984	182565000	TRUE
985	182917500	TRUE
986	183270000	TRUE
987	183622500	TRUE
988	183975000	TRUE
989	184327500	TRUE
990	184680000	TRUE
991	185032500	TRUE
992	185385000	TRUE
993	185740000	TRUE
994	186095000	TRUE
995	186450000	TRUE
996	186805000	TRUE
997	187160000	TRUE
998	187515000	TRUE
999	187870000	TRUE
1000	188225000	TRUE
1001	188582500	TRUE
1002	188940000	TRUE
1003	189297500	TRUE
1004	189655000	TRUE
1005	190012500	TRUE
1006	190370000	TRUE
1007	190727500	TRUE
1008	191085000	TRUE
1009	191445000	TRUE
1010	191805000	TRUE
1011	192165000	TRUE
1012	192525000	TRUE
1013	192885000	TRUE
1014	193245000	TRUE
1015	193605000	TRUE
1016	193967500	TRUE
1017	194330000	TRUE
1018	194692500	TRUE
1019	195055000	TRUE
1020	195417500	TRUE
1021	195780000	TRUE
1022	196142500	TRUE
1023	196505000	TRUE
1024	196870000	TRUE
1025	197235000	TRUE
1026	197600000	TRUE
1027	197965000	TRUE
1028	198330000	TRUE
1029	198695000	TRUE
1030	199060000	TRUE
1031	199425000	TRUE
1032	199792500	TRUE
1033	200160000	TRUE
1034	200527500	TRUE
1035	200895000	TRUE
1036	201262500	TRUE
1037	201630000	TRUE
1038	201997500	TRUE
1039	202365000	TRUE
1040	202735000	TRUE
1041	203105000	TRUE
1042	203475000	TRUE
1043	203845000	TRUE
1044	204215000	TRUE
1045	204585000	TRUE
1046	204955000	TRUE
1047	205325000	TRUE
1048	205697500	TRUE
1049	206070000	TRUE
1050	206442500	TRUE
1051	206815000	TRUE
1052	207187500	TRUE
1053	207560000	TRUE
1054	207932500	TRUE
1055	208305000	TRUE
1056	208680000	TRUE
1057	209055000	TRUE
1058	209430000	TRUE
1059	209805000	TRUE
1060	210180000	TRUE
1061	210555000	TRUE
1062	210930000	TRUE
1063	211305000	TRUE
1064	211682500	TRUE
1065	212060000	TRUE
1066	212437500	TRUE
1067	212815000	TRUE
1068	213192500	TRUE
1069	213570000	TRUE
1070	213947500	TRUE
1071	214327500	TRUE
1072	214707500	TRUE
1073	215087500	TRUE
1074	215467500	TRUE
1075	215847500	TRUE
1076	216227500	TRUE
1077	216607500	TRUE
1078	216987500	TRUE
1079	217370000	TRUE
1080	217752500	TRUE
1081	218135000	TRUE
1082	218517500	TRUE
1083	218900000	TRUE
1084	219282500	TRUE
1085	219665000	TRUE
1086	220047500	TRUE
1087	220432500	TRUE
1088	220817500	TRUE
1089	221202500	TRUE
1090	221587500	TRUE
1091	221972500	TRUE
1092	222357500	TRUE
1093	222742500	TRUE
1094	223127500	TRUE
1095	223515000	TRUE
1096	223902500	TRUE
1097	224290000	TRUE
1098	224677500	TRUE
1099	225065000	TRUE
1100	225452500	TRUE
1101	225840000	TRUE
1102	226227500	TRUE
1103	226617500	TRUE
1104	227007500	TRUE
1105	227397500	TRUE
1106	227787500	TRUE
1107	228177500	TRUE
1108	228567500	TRUE
1109	228957500	TRUE
1110	229347500	TRUE
1111	229740000	TRUE
1112	230132500	TRUE
1113	230525000	TRUE
1114	230917500	TRUE
1115	231310000	TRUE
1116	231702500	TRUE
1117	232095000	TRUE
1118	232487500	TRUE
1119	232882500	TRUE
1120	233277500	TRUE
1121	233672500	TRUE
1122	234067500	TRUE
1123	234462500	TRUE
1124	234857500	TRUE
1125	235252500	TRUE
1126	235647500	TRUE
1127	236045000	TRUE
1128	236442500	TRUE
1129	236840000	TRUE
1130	237237500	TRUE
1131	237635000	TRUE
1132	238032500	TRUE
1133	238430000	TRUE
1134	238827500	TRUE
1135	239227500	TRUE
1136	239627500	TRUE
1137	240027500	TRUE
1138	240427500	TRUE
1139	240827500	TRUE
1140	241227500	TRUE
1141	241627500	TRUE
1142	242027500	TRUE
1143	242430000	TRUE
1144	242832500	TRUE
1145	243235000	TRUE
1146	243637500	TRUE
1147	244040000	TRUE
1148	244442500	TRUE
1149	244845000	TRUE
1150	245247500	TRUE
1151	245652500	TRUE
1152	246057500	TRUE
1153	246462500	TRUE
1154	246867500	TRUE
1155	247272500	TRUE
1156	247677500	TRUE
1157	248082500	TRUE
1158	248490000	TRUE
1159	248897500	TRUE
1160	249305000	TRUE
1161	249712500	TRUE
1162	250120000	TRUE
1163	250527500	TRUE
1164	250935000	TRUE
1165	251342500	TRUE
1166	251752500	TRUE
1167	252162500	TRUE
1168	252572500	TRUE
1169	252982500	TRUE
1170	253392500	TRUE
1171	253802500	TRUE
1172	254212500	TRUE
1173	254622500	TRUE
1174	255035000	TRUE
1175	255447500	TRUE
1176	255860000	TRUE
1177	256272500	TRUE
1178	256685000	TRUE
1179	257097500	TRUE
1180	257510000	TRUE
1181	257922500	TRUE
1182	258337500	TRUE
1183	258752500	TRUE
1184	259167500	TRUE
1185	259582500	TRUE
1186	259997500	TRUE
1187	260412500	TRUE
1188	260827500	TRUE
1189	261242500	TRUE
1190	261660000	TRUE
1191	262077500	TRUE
1192	262495000	TRUE
1193	262912500	TRUE
1194	263330000	TRUE
1195	263747500	TRUE
1196	264165000	TRUE
1197	264582500	TRUE
1198	265002500	TRUE
1199	265422500	TRUE
1200	265842500	TRUE
1201	266262500	TRUE
1202	266682500	TRUE
1203	267102500	TRUE
1204	267522500	TRUE
1205	267942500	TRUE
1206	268365000	TRUE
1207	268787500	TRUE
1208	269210000	TRUE
1209	269632500	TRUE
1210	270055000	TRUE
1211	270477500	TRUE
1212	270900000	TRUE
1213	271322500	TRUE
1214	271747500	TRUE
1215	272172500	TRUE
1216	272597500	TRUE
1217	273022500	TRUE
1218	273447500	TRUE
1219	273872500	TRUE
1220	274297500	TRUE
1221	274722500	TRUE
1222	275150000	TRUE
1223	275577500	TRUE
1224	276005000	TRUE
1225	276432500	TRUE
1226	276860000	TRUE
1227	277287500	TRUE
1228	277715000	TRUE
1229	278142500	TRUE
1230	278572500	TRUE
1231	279002500	TRUE
1232	279432500	TRUE
1233	279862500	TRUE
1234	280292500	TRUE
1235	280722500	TRUE
1236	281152500	TRUE
1237	281582500	TRUE
1238	282015000	TRUE
1239	282447500	TRUE
1240	282880000	TRUE
1241	283312500	TRUE
1242	283745000	TRUE
1243	284177500	TRUE
1244	284610000	TRUE
1245	285042500	TRUE
1246	285477500	TRUE
1247	285912500	TRUE
1248	286347500	TRUE
1249	286782500	TRUE
1250	287217500	TRUE
1251	287652500	TRUE
1252	288087500	TRUE
