Element	Rarity	Tier	Hero	Skill 1	Skill 2	Skill 3	Skill 4	Skill 5
Fire	SR	F	Ophelia	Unit Power +20% (Fire)		Tower Defense		Tower Defense
Fire	SR	F	Samar	Unit Power +20% (Fire)		Tower Defense		Tower Defense
Ice	SSR	S	Clarence	March Speed +30%	Unit Power +20%		Unit Power +20%	Regeneration +15%
Ice	SSR	B	Ao Yue	March Speed +20%	Recovery +20%		Unit Power +20%	Regeneration +10%
Ice	SSR	B	Trishy	March Speed +20%	Recovery +20%		Unit Power +20%	Regeneration +10%
Ice	SSR	B	Filius	March Speed +20%	Recovery +15%		Unit Power +25%	Regeneration +10%
Ice	SSR	B	Nathaniel	March Speed +30%	Load +20%		Recovery +15%	Regeneration +10%
Ice	SSR	C	Keith	March Speed +30%	Load +20%		Unit Power +20%	Regeneration +10%
Ice	SSR	C	Maud	March Speed +30%	Load +20%		Unit Power +20%	Regeneration +10%
Ice	SSR	C	Ao Deng Ge Ri Le	March Speed +20%	Unit Power +20%		Unit Power +20%	Regeneration +10%
Ice	SSR	C	Judy	March Speed +20%	Unit Power +20%		Unit Power +20%	Regeneration +10%
Ice	SSR	C	Enzo	March Speed +20%	Recovery +20%		Unit Power +20%	Recovery +10%
Ice	SSR	C	Nina	March Speed +20%	Recovery +15%		Unit Power +25%	Recovery +10%
Ice	SSR	C	Enzo	March Speed +20%	Recovery +20%		Unit Power +20%	Recovery +10%
Ice	SSR	C	Rebecca	March Speed +20%	Recovery +15%		Unit Power +20%	Recovery +10%
Ice	SSR	C	j	March Speed +20%	AP Discount 10%		Unit Power +25%	Regeneration +10%
Ice	SSR	C	Pedra	March Speed +20%	AP Discount 10%		Unit Power +25%	Regeneration +10%
Ice	SSR	C	Lilani	March Speed +20%	Load +15%		Unit Power +25%	Regeneration +10%
Ice	SSR	C	Parr	March Speed +20%	Load +15%		Unit Power +25%	Regeneration +10%
Ice	SSR	C	Rudolph	March Speed +20%	Load +15%		Unit Power +25%	Recovery +15%
Ice	SSR	C	Vera	March Speed +20%	Load +10%		Unit Power +25%	Regeneration +10%
Ice	SSR	C	Paula	March Speed +20%	Offline +20%		Unit Power +20%	Recovery +15%
Ice	SSR	C	Hana	AP Discount 10%	March Speed +15%		Unit Power +25%	Regeneration +10%
Ice	SSR	D	Hadi	March Speed +20%	Offline +20%		Unit Power +20%	Gathering +20%
Ice	SSR	D	Nicole	March Speed +20%	Offline +20%		Unit Power +20%	Gathering +20%
Ice	SSR	D	Ralph	March Speed +20%	Tower Defense		Unit Power +20%	Load +10%
Ice	SR	E	Merlin	Tower Defense	Tower Defense	March Speed +15%		
Goblin	SSR	S	Tumnus	March Speed +30%	Unit Power +20%		Unit Power +20%	Regeneration +15%
Goblin	SSR	A	Gruen	March Speed +25%	Recovery +15%		Unit Power +25%	Regeneration +10%
Goblin	SSR	A	Boudica	March Speed +25%	Recovery +15%		Unit Power +25%	Regeneration +10%
Goblin	SSR	B	Lilith	March Speed +20%	Recovery +20%		Unit Power +20%	Regeneration +10%
Goblin	SSR	B	Rila	March Speed +20%	Recovery +20%		Unit Power +20%	Regeneration +10%
Goblin	SSR	B	Wendy	March Speed +20%	Recovery +15%		Unit Power +25%	Regeneration +10%
Goblin	SSR	B	Rosamond	March Speed +20%	Load +20%		Unit Power +30%	Recovery +25%
Goblin	SSR	B	Angelina	March Speed +20%	Load +20%		Unit Power +30%	Recovery +25%
Goblin	SSR	C	Chiyoko	March Speed +30%	Load +20%		Unit Power +20%	Regeneration +10%
Goblin	SSR	C	Suad	March Speed +30%	Load +20%		Unit Power +20%	Regeneration +10%
Goblin	SSR	C	Daisy	March Speed +20%	Recovery +20%		Unit Power +20%	Recovery +10%
Goblin	SSR	C	Mycelia	March Speed +20%	Recovery +15%		Unit Power +20%	Recovery +10%
Goblin	SSR	C	Luvia	March Speed +20%	Recovery +15%		AP Discount 10%	Regeneration +10%
Goblin	SSR	C	Arwin	March Speed +20%	Load +15%		Unit Power +25%	Regeneration +10%
Goblin	SSR	C	Benjamin	March Speed +20%	Load +15%		Unit Power +25%	Regeneration +10%
Goblin	SSR	C	Lomax	March Speed +20%	Load +15%		Unit Power +25%	Regeneration +10%
Goblin	SSR	C	Meniere	March Speed +20%	Load +15%		Unit Power +25%	Regeneration +10%
Goblin	SSR	C	Blackwell	March Speed +20%	Load +20%		Unit Power +20%	Regeneration +10%
Goblin	SSR	D	Catherine	March Speed +20%	Offline +20%		Unit Power +20%	Gathering +20%
Goblin	SSR	D	Rogers	March Speed +20%	Offline +20%		Unit Power +20%	Gathering +20%
Goblin	SSR	D	Issac	March Speed +20%	Offline +20%		Unit Power +20%	Load +10%
Goblin	SSR	D	Pythia	AP Discount 10%	March Speed +15%		Load +20%	Regeneration +10%
Goblin	SSR	E	Claudia	Offline +20%	Recovery +15%		Unit Power +20% (Goblin)	Load +20%
Goblin	SR	F	Alucard	Tower Defense	Tower Defense	Offline +20%		
