Castle Level		Stone	Wood	Metal	Gold	
277	»278	260	0	0	647.6	k
278	»279	260	0	0	649.5	k
279	»280	265	0	0	651.3	k
280	»281	265	0	0	653.2	k
281	»282	265	0	0	655.1	k
282	»283	265	0	0	656.9	k
283	»284	265	0	0	658.8	k
284	»285	265	0	0	660.7	k
285	»286	265	0	0	662.5	k
286	»287	270	0	0	664.4	k
287	»288	270	0	0	666.2	k
288	»289	270	0	0	668.1	k
289	»290	270	0	0	669.9	k
290	»291	270	0	0	671.8	k
291	»292	270	0	0	673.7	k
292	»293	275	0	0	675.5	k
293	»294	275	0	0	677.4	k
294	»295	275	0	0	679.2	k
295	»296	275	0	0	681.1	k
296	»297	275	0	0	682.9	k
297	»298	275	0	0	684.7	k
298	»299	280	0	0	686.6	k
299	»300	280	0	0	688.4	k
300	»301	280	0	0	690.3	k
301	»302	280	0	0	692.1	k
302	»303	280	0	0	693.9	k
303	»304	280	0	0	695.8	k
304	»305	280	0	0	697.6	k
305	»306	280	0	0	699.5	k
306	»307	285	0	0	701.3	k
307	»308	285	0	0	703.1	k
308	»309	285	0	0	705.0	k
309	»310	285	0	0	706.8	k
310	»311	285	0	0	708.6	k
311	»312	285	0	0	710.4	k
312	»313	285	0	0	712.3	k
313	»314	290	0	0	714.1	k
314	»315	290	0	0	715.9	k
315	»316	290	0	0	717.7	k
316	»317	290	0	0	719.6	k
317	»318	290	0	0	721.4	k
318	»319	290	0	0	723.2	k
319	»320	290	0	0	725.0	k
320	»321	295	0	0	726.8	k
321	»322	295	0	0	728.7	k
322	»323	295	0	0	730.5	k
323	»324	295	0	0	732.3	k
324	»325	295	0	0	734.1	k
325	»326	295	0	0	735.9	k
326	»327	300	0	0	737.7	k
327	»328	300	0	0	739.5	k
328	»329	300	0	0	741.3	k
329	»330	300	0	0	743.2	k
330	»331	300	0	0	745.0	k
331	»332	300	0	0	745.0	k
332	»333	300	0	0	746.8	k
333	»334	305	0	0	750.4	k
334	»335	305	0	0	752.2	k
335	»336	305	0	0	754.0	k
336	»337	305	0	0	755.8	k
337	»338	305	0	0	757.6	k
338	»339	305	0	0	759.4	k
339	»340	305	0	0	761.2	k
340	»341	310	0	0	763.0	k
341	»342	310	0	0	764.8	k
342	»343	310	0	0	766.5	k
343	»344	310	0	0	768.3	k
344	»345	310	0	0	770.1	k
345	»346	310	0	0	771.9	k
346	»347	310	0	0	773.7	k
347	»348	315	0	0	775.5	k
348	»349	315	0	0	777.3	k
349	»350	315	0	0	779.1	k
350	»351	315	0	0	780.9	k
351	»352	315	0	0	782.6	k
352	»353	315	0	0	784.4	k
353	»354	315	0	0	786.2	k
354	»355	320	0	0	788.0	k
355	»356	320	0	0	789.8	k
356	»357	320	0	0	791.6	k
357	»358	320	0	0	793.3	k
358	»359	320	0	0	795.1	k
359	»360	320	0	0	796.9	k
360	»361	320	0	0	798.7	k
361	»362	325	0	0	800.4	k
362	»363	325	0	0	802.2	k
363	»364	325	0	0	804.0	k
364	»365	325	0	0	805.7	k
365	»366	325	0	0	807.5	k
366	»367	325	0	0	809.3	k
367	»368	325	0	0	811.1	k
368	»369	330	0	0	812.8	k
369	»370	330	0	0	814.6	k
370	»371	330	0	0	816.4	k
371	»372	330	0	0	818.1	k
372	»373	330	0	0	819.9	k
373	»374	330	0	0	821.6	k
374	»375	330	0	0	823.4	k
375	»376	335	0	0	825.2	k
376	»377	335	0	0	826.9	k
377	»378	335	0	0	828.7	k
378	»379	335	0	0	830.4	k
379	»380	335	0	0	832.2	k
380	»381	335	0	0	834.0	k
381	»382	335	0	0	835.7	k
382	»383	335	0	0	837.5	k
383	»384	340	0	0	839.2	k
384	»385	340	0	0	841.0	k
385	»386	340	0	0	842.7	k
386	»387	340	0	0	844.5	k
387	»388	340	0	0	846.2	k
388	»389	340	0	0	848.0	k
389	»390	340	0	0	849.7	k
390	»391	345	0	0	851.5	k
391	»392	345	0	0	853.2	k
392	»393	345	0	0	855.0	k
393	»394	345	0	0	856.7	k
394	»395	345	0	0	858.4	k
395	»396	345	0	0	860.2	k
396	»397	345	0	0	861.9	k
397	»398	350	0	0	863.7	k
398	»399	350	0	0	865.4	k
399	»400	350	0	0	867.2	k
400	»401	350	0	0	868.9	k
401	»402	350	0	0	870.6	k
402	»403	350	0	0	872.4	k
403	»404	350	0	0	874.1	k
404	»405	355	0	0	875.8	k
405	»406	355	0	0	877.6	k
406	»407	355	0	0	879.3	k
407	»408	355	0	0	881.0	k
408	»409	355	0	0	882.8	k
409	»410	355	0	0	884.5	k
410	»411	355	0	0	886.2	k
411	»412	360	0	0	888.0	k
412	»413	360	0	0	889.0	k
413	»414	360	0	0	891.4	k
414	»415	360	0	0	893.1	k
415	»416	360	0	0	894.9	k
416	»417	360	0	0	896.6	k
417	»418	360	0	0	898.0	k
418	»419	360	0	0	900.0	k
419	»420	365	0	0	901.8	k
420	»421	365	0	0	903.5	k
421	»422	365	0	0	905.2	k
422	»423	365	0	0	906.9	k
423	»424	365	0	0	908.6	k
424	»425	365	0	0	910.3	k
425	»426	365	0	0	912.1	k
426	»427	370	0	0	913.8	k
427	»428	370	0	0	915.5	k
428	»429	370	0	0	917.2	k
429	»430	370	0	0	918.9	k
430	»431	370	0	0	920.6	k
431	»432	370	0	0	922.4	k
432	»433	370	0	0	924.1	k
433	»434	375	0	0	925.8	k
434	»435	375	0	0	927.5	k
435	»436	375	0	0	929.2	k
436	»437	375	0	0	930.9	k
437	»438	375	0	0	932.6	k
438	»439	375	0	0	934.3	k
439	»440	375	0	0	936.0	k
440	»441	380	0	0	937.7	k
441	»442	380	0	0	939.4	k
442	»443	380	0	0	941.1	k
443	»444	380	0	0	942.8	k
444	»445	380	0	0	944.5	k
445	»446	380	0	0	946.2	k
446	»447	380	0	0	947.9	k
447	»448	380	0	0	949.6	k
448	»449	385	0	0	951.3	k
449	»450	385	0	0	953.0	k
450	»451	385	0	0	954.7	k
451	»452	385	0	0	956.4	k
452	»453	385	0	0	958.1	k
453	»454	385	0	0	959.8	k
454	»455	385	0	0	961.5	k
455	»456	390	0	0	963.2	k
456	»457	390	0	0	964.9	k
457	»458	390	0	0	966.6	k
458	»459	390	0	0	968.3	k
459	»460	390	0	0	970.0	k
460	»461	390	0	0	971.7	k
461	»462	390	0	0	973.4	k
462	»463	395	0	0	975.1	k
463	»464	395	0	0	976.7	k
464	»465	395	0	0	978.4	k
465	»466	395	0	0	980.1	k
466	»467	395	0	0	981.8	k
467	»468	395	0	0	983.5	k
468	»469	395	0	0	985.2	k
469	»470	395	0	0	986.9	k
470	»471	400	0	0	988.5	k
471	»472	400	0	0	990.2	k
472	»473	400	0	0	991.9	k
473	»474	400	0	0	993.6	k
474	»475	400	0	0	995.3	k
475	»476	400	0	0	996.9	k
476	»477	400	0	0	998.6	k
477	»478	405	0	0	1.1	M
478	»479	405	0	0	1.1	M
479	»480	405	0	0	1.1	M
480	»481	405	0	0	1.1	M
481	»482	405	0	0	1.1	M
482	»483	405	0	0	1.1	M
483	»484	405	0	0	1.1	M
484	»485	405	0	0	1.1	M
485	»486	410	0	0	1.1	M
486	»487	410	0	0	1.1	M
487	»488	410	0	0	1.1	M
488	»489	410	0	0	1.1	M
489	»490	410	0	0	1.1	M
490	»491	410	0	0	1.1	M
491	»492	410	0	0	1.1	M
492	»493	415	0	0	1.1	M
493	»494	415	0	0	1.1	M
494	»495	415	0	0	1.1	M
495	»496	415	0	0	1.1	M
496	»497	415	0	0	1.1	M
497	»498	415	0	0	1.1	M
498	»499	415	0	0	1.1	M
499	»500	415	0	0	1.1	M
