Castle Level	0	Stone	Wood	Metal	Gold	
671	»672	530	60	0	1.4	M
672	»673	530	60	0	1.4	M
673	»674	530	60	0	1.4	M
674	»675	530	65	0	1.4	M
675	»676	530	65	0	1.4	M
676	»677	530	65	0	1.4	M
677	»678	530	65	0	1.4	M
678	»679	535	65	0	1.4	M
679	»680	535	65	0	1.4	M
680	»681	535	65	0	1.4	M
681	»682	535	65	0	1.4	M
682	»683	535	65	0	1.4	M
683	»684	535	65	0	1.4	M
684	»685	535	65	0	1.4	M
685	»686	535	60	0	1.4	M
686	»687	540	65	0	1.4	M
687	»688	540	65	0	1.4	M
688	»689	540	65	0	1.4	M
689	»690	540	65	0	1.4	M
690	»691	540	65	0	1.4	M
691	»692	540	65	0	1.4	M
692	»693	540	70	0	1.4	M
693	»694	540	70	0	1.4	M
694	»695	545	70	0	1.4	M
695	»696	545	70	0	1.4	M
696	»697	545	70	0	1.4	M
697	»698	545	70	0	1.4	M
698	»699	545	70	0	1.4	M
699	»700	545	70	0	1.4	M
700	»701	545	70	0	1.4	M
701	»702	545	70	0	1.4	M
702	»703	550	70	0	1.4	M
703	»704	550	70	0	1.4	M
704	»705	550	70	0	1.4	M
705	»706	550	70	0	1.4	M
706	»707	550	70	0	1.4	M
707	»708	550	70	0	1.4	M
708	»709	550	70	0	1.4	M
709	»710	550	70	0	1.4	M
710	»711	550	70	0	1.4	M
711	»712	555	75	0	1.4	M
712	»713	555	75	0	1.4	M
713	»714	555	75	0	1.4	M
714	»715	555	75	0	1.4	M
715	»716	555	75	0	1.4	M
716	»717	555	75	0	1.4	M
717	»718	555	75	0	1.4	M
718	»719	555	75	0	1.4	M
719	»720	560	75	0	1.4	M
720	»721	560	75	0	1.4	M
721	»722	560	75	0	1.4	M
722	»723	560	75	0	1.4	M
723	»724	560	75	0	1.4	M
724	»725	560	75	0	1.4	M
725	»726	560	75	0	1.4	M
726	»727	560	75	0	1.4	M
727	»728	565	75	0	1.5	M
728	»729	565	75	0	1.5	M
729	»730	565	75	0	1.5	M
730	»731	565	80	0	1.5	M
731	»732	565	80	0	1.5	M
732	»733	565	80	0	1.5	M
733	»734	565	80	0	1.5	M
734	»735	565	80	0	1.5	M
735	»736	570	80	0	1.5	M
736	»737	570	80	0	1.5	M
737	»738	570	80	0	1.5	M
738	»739	570	80	0	1.5	M
739	»740	570	80	0	1.5	M
740	»741		80	0	1.5	M
741	»742		80	0	1.5	M
742	»743		80	0	1.5	M
743	»744		80	0	1.5	M
744	»745	575	80	0	1.5	M
745	»746	575	80	0	1.5	M
746	»747	575	80	0	1.5	M
747	»748	575	80	0	1.5	M
748	»749	575	80	0	1.5	M
749	»750	575	80	0	1.5	M
750	»751	575	85	0	1.5	M
751	»752	575	85	0	1.5	M
752	»753	575	85	0	1.5	M
753	»754	575	85	0	1.5	M
754	»755	575	85	0	1.5	M
755	»756	575	85	0	1.5	M
756	»757	575	85	0	1.5	M
757	»758	575	85	0	1.5	M
758	»759	580	85	0	1.5	M
759	»760	585	85	0	1.5	M
760	»761	585	85	0	1.5	M
761	»762	585	85	0	1.5	M
762	»763	585	85	0	1.5	M
763	»764	585	85	0	1.5	M
764	»765	585	85	0	1.5	M
765	»766	585	85	0	1.5	M
766	»767	585	85	0	1.5	M
767	»768	590	85	0	1.5	M
768	»769	590	85	0	1.5	M
769	»770	590	85	0	1.5	M
770	»771	590	85	0	1.5	M
771	»772	590	85	0	1.5	M
772	»773	590	85	0	1.5	M
773	»774	590	85	0	1.5	M
774	»775	590	90	0	1.5	M
775	»776	595	90	0	1.5	M
776	»777	895	90	0	1.5	M
777	»778	895	90	0	1.5	M
778	»779	895	90	0	1.5	M
779	»780	895	90	0	1.5	M
780	»781	895	90	0	1.5	M
781	»782	895	90	0	1.5	M
782	»783	895	90	0	1.5	M
783	»784	895	90	0	1.5	M
784	»785	600	90	0	1.5	M
785	»786	600	90	0	1.5	M
786	»787	600	90	0	1.5	M
787	»788	600	90	0	1.5	M
788	»789	600	90	0	1.5	M
789	»790	600	95	0	1.5	M
790	»791	600	95	0	1.5	M
791	»792	605	95	0	1.6	M
792	»793	605	95	0	1.6	M
793	»794	605	95	0	1.6	M
794	»795	605	95	0	1.6	M
795	»796	605	95	0	1.6	M
796	»797	605	95	0	1.6	M
797	»798	605	95	0	1.6	M
798	»799	605	95	0	1.6	M
799	»800	605	95	0	1.6	M
800	»801	610	95	0	1.6	M
801	»802	610	95	0	1.6	M
802	»803	610	95	0	1.6	M
803	»804	610	95	0	1.6	M
804	»805	610	95	0	1.6	M
805	»806	610	95	0	1.6	M
806	»807	610	95	0	1.6	M
807	»808	610	95	0	1.6	M
808	»809	610	95	0	1.6	M
809	»810	615	100	0	1.6	M
810	»811	615	100	0	1.6	M
811	»812	615	100	0	1.6	M
812	»813	615	100	0	1.6	M
813	»814	615	100	0	1.6	M
814	»815	615	100	0	1.6	M
815	»816	615	100	0	1.6	M
816	»817	615	100	0	1.6	M
817	»818	620	100	0	1.6	M
818	»819	620	100	0	1.6	M
819	»820	620	100	0	1.6	M
820	»821	620	100	0	1.6	M
821	»822	620	100	0	1.6	M
822	»823	620	100	0	1.6	M
823	»824	620	100	0	1.6	M
824	»825	620	100	0	1.6	M
825	»826	625	100	0	1.6	M
826	»827	625	100	0	1.6	M
827	»828	625	100	0	1.6	M
828	»829	625	100	0	1.6	M
829	»830	625	100	0	1.6	M
830	»831	625	105	0	1.6	M
831	»832	625	105	0	1.6	M
832	»833	625	105	0	1.6	M
833	»834	625	105	0	1.6	M
834	»835	630	105	0	1.6	M
835	»836	630	105	0	1.6	M
836	»837	630	105	0	1.6	M
837	»838	630	105	0	1.6	M
838	»839	630	105	0	1.6	M
839	»840	630	105	0	1.6	M
840	»841	630	105	0	1.6	M
841	»842	630	105	0	1.6	M
842	»843	635	105	0	1.6	M
843	»844	635	105	0	1.6	M
844	»845	635	105	0	1.6	M
845	»846	635	105	0	1.6	M
846	»847	635	105	0	1.6	M
847	»848	635	105	0	1.6	M
848	»849	635	105	0	1.6	M
849	»850	635	105	0	1.6	M
850	»851	640	105	0	1.6	M
851	»852	640	110	0	1.6	M
852	»853	640	110	0	1.6	M
853	»854	640	110	0	1.6	M
854	»855	640	110	0	1.6	M
855	»856	640	110	0	1.6	M
856	»857	640	110	0	1.6	M
857	»858	640	110	0	1.6	M
858	»859	640	110	0	1.6	M
859	»860	645	110	0	1.7	M
860	»861	645	110	0	1.7	M
861	»862	645	110	0	1.7	M
862	»863	645	110	0	1.7	M
863	»864	645	110	0	1.7	M
864	»865	645	110	0	1.7	M
865	»866	645	110	0	1.7	M
866	»867	645	110	0	1.7	M
867	»868	650	110	0	1.7	M
868	»869	650	110	0	1.7	M
869	»870	650	110	0	1.7	M
870	»871	650	110	0	1.7	M
871	»872	650	110	0	1.7	M
872	»873	650	115	0	1.7	M
873	»874	650	115	0	1.7	M
874	»875	650	115	0	1.7	M
875	»876	655	115	0	1.7	M
876	»877	655	115	0	1.7	M
877	»878	655	115	0	1.7	M
878	»879	655	115	0	1.7	M
879	»880	655	115	0	1.7	M
880	»881	655	115	0	1.7	M
881	»882	655	115	0	1.7	M
882	»883	655	115	0	1.7	M
883	»884	655	115	0	1.7	M
884	»885	660	115	0	1.7	M
885	»886	660	115	0	1.7	M
886	»887	660	115	0	1.7	M
887	»888	660	115	0	1.7	M
888	»889	660	115	0	1.7	M
889	»890	660	115	0	1.7	M
890	»891	660	115	0	1.7	M
891	»892	660	115	0	1.7	M
892	»893	665	115	0	1.7	M
893	»894	665	120	0	1.7	M
894	»895	665	120	0	1.7	M
895	»896	665	120	0	1.7	M
896	»897	665	120	0	1.7	M
897	»898	665	120	0	1.7	M
898	»899	665	120	0	1.7	M
899	»900	665	120	0	1.7	M
900	»901	665	120	0	1.7	M
901	»902	670	120	0	1.7	M
902	»903	670	120	0	1.7	M
903	»904	670	120	0	1.7	M
904	»905	670	120	0	1.7	M
905	»906	670	120	0	1.7	M
906	»907	670	120	0	1.7	M
907	»908	670	120	0	1.7	M
908	»909	670	120	0	1.7	M
909	»910	675	120	0	1.7	M
910	»911	675	120	0	1.7	M
911	»912	675	120	0	1.7	M
912	»913	675	120	0	1.7	M
913	»914	675	120	0	1.7	M
914	»915	675	120	0	1.7	M
915	»916	675	125	0	1.7	M
916	»917	675	125	0	1.7	M
917	»918	675	125	0	1.7	M
918	»919	680	125	0	1.7	M
919	»920	680	125	0	1.7	M
920	»921	680	125	0	1.7	M
921	»922	680	125	0	1.7	M
922	»923	680	125	0	1.7	M
923	»924	680	125	0	1.7	M
924	»925	680	125	0	1.7	M
925	»926	680	125	0	1.7	M
926	»927	685	125	0	1.8	M
927	»928	685	125	0	1.8	M
928	»929	685	125	0	1.8	M
929	»930	685	125	0	1.8	M
930	»931	685	125	0	1.8	M
931	»932	685	125	0	1.8	M
932	»933	685	125	0	1.8	M
933	»934	685	125	0	1.8	M
934	»935	685	125	0	1.8	M
935	»936	690	125	0	1.8	M
936	»937	690	130	0	1.8	M
937	»938	690	130	0	1.8	M
938	»939	690	130	0	1.8	M
939	»940	690	130	0	1.8	M
940	»941	690	130	0	1.8	M
941	»942	690	130	0	1.8	M
942	»943	690	130	0	1.8	M
943	»944	695	130	0	1.8	M
944	»945	695	130	0	1.8	M
945	»946	695	130	0	1.8	M
946	»947	695	130	0	1.8	M
947	»948	695	130	0	1.8	M
948	»949	695	130	0	1.8	M
949	»950	695	130	0	1.8	M
950	»951	695	130	0	1.8	M
951	»952	695	130	0	1.8	M
952	»953	700	130	0	1.8	M
953	»954	700	130	0	1.8	M
954	»955	700	130	0	1.8	M
955	»956	700	130	0	1.8	M
956	»957	700	130	0	1.8	M
957	»958	700	130	0	1.8	M
958	»959	700	135	0	1.8	M
959	»960	700	135	0	1.8	M
960	»961	705	135	0	1.8	M
961	»962	705	135	0	1.8	M
962	»963	705	135	0	1.8	M
963	»964	705	135	0	1.8	M
964	»965	705	135	0	1.8	M
965	»966	705	135	0	1.8	M
966	»967	705	135	0	1.8	M
967	»968	705	135	0	1.8	M
968	»969	705	135	0	1.8	M
969	»970	710	135	0	1.8	M
970	»971	710	135	0	1.8	M
971	»972	710	135	0	1.8	M
972	»973	710	135	0	1.8	M
973	»974	710	135	0	1.8	M
974	»975	710	135	0	1.8	M
975	»976	710	135	0	1.8	M
976	»977	710	135	0	1.8	M
977	»978	715	135	0	1.8	M
978	»979	715	135	0	1.8	M
979	»980	715	135	0	1.8	M
980	»981	715	135	0	1.8	M
981	»982	715	135	0	1.8	M
982	»983	715	135	0	1.8	M
983	»984	715	140	0	1.8	M
984	»985	715	140	0	1.8	M
985	»986	715	140	0	1.8	M
986	»987	720	140	0	1.8	M
987	»988	720	140	0	1.8	M
988	»989	720	140	0	1.8	M
989	»990	720	140	0	1.8	M
990	»991	720	140	0	1.8	M
991	»992	720	140	0	1.8	M
992	»993	720	140	0	1.8	M
993	»994	720	140	0	1.8	M
994	»995	725	140	0	1.9	M
995	»996	725	140	0	1.9	M
996	»997	725	140	0	1.9	M
997	»998	725	140	0	1.9	M
998	»999	725	140	0	1.9	M
999	»1000	725	140	0	1.9	M
