Castle Level		Stone	Wood	Metal	Gold	
1061	»1062	760	155	15	1.9	M
1062	»1063	760	155	15	1.9	M
1063	»1064	765	155	15	2	M
1064	»1065	765	155	15	2	M
1065	»1066	765	155	15	2	M
1066	»1067	765	155	15	2	M
1067	»1068	765	155	15	2	M
1068	»1069	765	155	15	2	M
1069	»1070	765	155	15	2	M
1070	»1071	765	155	20	2	M
1071	»1072	765	160	20	2	M
1072	»1073	765	160	20	2	M
1073	»1074	770	160	20	2	M
1074	»1075	770	160	20	2	M
1075	»1076	770	160	20	2	M
1076	»1077	770	160	20	2	M
1077	»1078	770	160	20	2	M
1078	»1079	770	160	20	2	M
1079	»1080	770	160	20	2	M
1080	»1081	770	160	20	2	M
1081	»1082	770	160	20	2	M
1082	»1083	775	160	20	2	M
1083	»1084	775	160	20	2	M
1084	»1085	775	160	20	2	M
1085	»1086	775	160	20	2	M
1086	»1087	775	160	20	2	M
1087	»1088	775	160	20	2	M
1088	»1089	775	160	20	2	M
1089	»1090	775	160	20	2	M
1090	»1091	775	160	20	2	M
1091	»1092	780	160	20	2	M
1092	»1093	780	160	20	2	M
1093	»1094	780	160	20	2	M
1094	»1095	780	165	20	2	M
1095	»1096	780	165	20	2	M
1096	»1097	780	165	20	2	M
1097	»1098	780	165	20	2	M
1098	»1099	780	165	20	2	M
1099	»1100	785	165	20	2	M
1100	»1101	785	165	25	2	M
1101	»1102	785	165	25	2	M
1102	»1103	785	165	25	2	M
1103	»1104	785	165	25	2	M
1104	»1105	785	165	25	2	M
1105	»1106	785	165	25	2	M
1106	»1107	785	165	25	2	M
1107	»1108	785	165	25	2	M
1108	»1109	790	165	25	2	M
1109	»1110	790	165	25	2	M
1110	»1111	790	165	25	2	M
1111	»1112	790	165	25	2	M
1112	»1113	790	165	25	2	M
1113	»1114	790	165	25	2	M
1114	»1115	790	165	25	2	M
1115	»1116	790	165	25	2	M
1116	»1117	790	165	25	2	M
1117	»1118	795	165	25	2	M
1118	»1119	795	170	25	2	M
1119	»1120	795	170	25	2	M
1120	»1121	795	170	25	2	M
1121	»1122	795	170	25	2	M
1122	»1123	795	170	25	2	M
1123	»1124	795	170	25	2	M
1124	»1125	795	170	25	2	M
1125	»1126	795	170	25	2	M
1126	»1127	800	170	25	2	M
1127	»1128	800	170	25	2	M
1128	»1129	800	170	25	2	M
1129	»1130	800	170	25	2	M
1130	»1131	800	170	25	2	M
1131	»1132	800	170	25	2	M
1132	»1133	800	170	30	2	M
1133	»1134	800	170	30	2	M
1134	»1135	800	170	30	2	M
1135	»1136	805	170	30	2.1	M
1136	»1137	805	170	30	2.1	M
1137	»1138	805	170	30	2.1	M
1138	»1139	805	170	30	2.1	M
1139	»1140	805	170	30	2.1	M
1140	»1141	805	170	30	2.1	M
1141	»1142	805	175	30	2.1	M
1142	»1143	805	175	30	2.1	M
1143	»1144	805	175	30	2.1	M
1144	»1145	805	175	30	2.1	M
1145	»1146	810	175	30	2.1	M
1146	»1147	810	175	30	2.1	M
1147	»1148	810	175	30	2.1	M
1148	»1149	810	175	30	2.1	M
1149	»1150	810	175	30	2.1	M
1150	»1151	810	175	30	2.1	M
1151	»1152	810	175	30	2.1	M
1152	»1153	815	175	30	2.1	M
1153	»1154	815	175	30	2.1	M
1154	»1155	815	175	30	2.1	M
1155	»1156	815	175	30	2.1	M
1156	»1157	815	175	30	2.1	M
1157	»1158	815	175	30	2.1	M
1158	»1159	815	175	30	2.1	M
1159	»1160	815	175	30	2.1	M
1160	»1161	815	175	30	2.1	M
1161	»1162	820	175	30	2.1	M
1162	»1163	820	175	30	2.1	M
1163	»1164	820	175	30	2.1	M
1164	»1165	820	175	30	2.1	M
1165	»1166	820	180	30	2.1	M
1166	»1167	820	180	35	2.1	M
1167	»1168	820	180	35	2.1	M
1168	»1169	820	180	35	2.1	M
1169	»1170	820	180	35	2.1	M
1170	»1171	825	180	35	2.1	M
1171	»1172	825	180	35	2.1	M
1172	»1173	825	180	35	2.1	M
1173	»1174	825	180	35	2.1	M
1174	»1175	825	180	35	2.1	M
1175	»1176	825	180	35	2.1	M
1176	»1177	825	180	35	2.1	M
1177	»1178	825	180	35	2.1	M
1178	»1179	825	180	35	2.1	M
1179	»1180	830	180	35	2.1	M
1180	»1181	830	180	35	2.1	M
1181	»1182	830	180	35	2.1	M
1182	»1183	830	180	35	2.1	M
1183	»1184	830	180	35	2.1	M
1184	»1185	830	180	35	2.1	M
1185	»1186	830	180	35	2.1	M
1186	»1187	830	180	35	2.1	M
1187	»1188	830	180	35	2.1	M
1188	»1189	835	180	35	2.1	M
1189	»1190	835	185	35	2.1	M
1190	»1191	835	185	35	2.1	M
1191	»1192	835	185	35	2.1	M
1192	»1193	835	185	35	2.1	M
1193	»1194	835	185	35	2.1	M
1194	»1195	835	185	35	2.1	M
1195	»1196	835	185	35	2.1	M
1196	»1197	835	185	35	2.1	M
1197	»1198	835	185	35	2.1	M
1198	»1199		185	35	2.1	M
1199	»1200	840	185	35	2.1	M
1200	»1201	840	185	35	2.1	M
1201	»1202	840	185	35	2.1	M
1202	»1203	840	185	40	2.1	M
1203	»1204	840	185	40	2.1	M
1204	»1205	840	185	40	2.1	M
1205	»1206	840	185	40	2.1	M
1206	»1207	845	185	40	2.2	M
1207	»1208	845	185	40	2.2	M
1208	»1209	845	185	40	2.2	M
1209	»1210	845	185	40	2.2	M
1210	»1211	845	185	40	2.2	M
1211	»1212	845	185	40	2.2	M
1212	»1213	845	185	40	2.2	M
1213	»1214	845	190	40	2.2	M
1214	»1215	845	190	40	2.2	M
1215	»1216	850	190	40	2.2	M
1216	»1217	850	190	40	2.2	M
1217	»1218	850	190	40	2.2	M
1218	»1219	850	190	40	2.2	M
1219	»1220	850	190	40	2.2	M
1220	»1221	850	190	40	2.2	M
1221	»1222	850	190	40	2.2	M
1222	»1223	850	190	40	2.2	M
1223	»1224	850	190	40	2.2	M
1224	»1225	855	190	40	2.2	M
1225	»1226	855	190	40	2.2	M
1226	»1227	855	190	40	2.2	M
1227	»1228	855	190	40	2.2	M
1228	»1229	855	190	40	2.2	M
1229	»1230	855	190	40	2.2	M
1230	»1231	855	190	40	2.2	M
1231	»1232	855	190	40	2.2	M
1232	»1233	855	190	40	2.2	M
1233	»1234	860	190	40	2.2	M
1234	»1235	860	190	40	2.2	M
1235	»1236	860	190	40	2.2	M
1236	»1237	860	190	40	2.2	M
1237	»1238	860	195	40	2.2	M
1238	»1239	860	195	40	2.2	M
1239	»1240	860	195	45	2.2	M
1240	»1241	860	195	45	2.2	M
1241	»1242	860	195	45	2.2	M
1242	»1243	865	195	45	2.2	M
1243	»1244	865	195	45	2.2	M
1244	»1245	865	195	45	2.2	M
1245	»1246	865	195	45	2.2	M
1246	»1247	865	195	45	2.2	M
1247	»1248	865	195	45	2.2	M
1248	»1249	865	195	45	2.2	M
1249	»1250	865	195	45	2.2	M
1250	»1251	865	195	45	2.2	M
1251	»1252	870	195	45	2.2	M
1252	»1253	870	195	45	2.2	M
1253	»1254	870	195	45	2.2	M
1254	»1255	870	195	45	2.2	M
1255	»1256	870	195	45	2.2	M
1256	»1257	870	195	45	2.2	M
1257	»1258	870	195	45	2.2	M
1258	»1259	870	195	45	2.2	M
1259	»1260	870	195	45	2.2	M
1260	»1261	875	195	45	2.2	M
1261	»1262	875	200	45	2.2	M
1262	»1263	875	200	45	2.2	M
1263	»1264	875	200	45	2.2	M
1264	»1265	875	200	45	2.2	M
1265	»1266	875	200	45	2.2	M
1266	»1267	875	200	45	2.2	M
1267	»1268	875	200	45	2.2	M
1268	»1269	875	200	45	2.2	M
1269	»1270	880	200	45	2.2	M
1270	»1271	880	200	45	2.2	M
1271	»1272	880	200	45	2.2	M
1272	»1273	880	200	45	2.2	M
1273	»1274	880	200	45	2.2	M
1274	»1275	880	200	45	2.2	M
1275	»1276	880	200	45	2.2	M
1276	»1277	880	200	45	2.2	M
1277	»1278	880	200	50	2.2	M
1278	»1279	885	200	50	2.3	M
1279	»1280	885	200	50	2.3	M
1280	»1281	885	200	50	2.3	M
1281	»1282	885	200	50	2.3	M
1282	»1283	885	200	50	2.3	M
1283	»1284	885	200	50	2.3	M
1284	»1285	885	200	50	2.3	M
1285	»1286	885	200	50	2.3	M
1286	»1287	885	205	50	2.3	M
1287	»1288	890	205	50	2.3	M
1288	»1289	890	205	50	2.3	M
1289	»1290	890	205	50	2.3	M
1290	»1291	890	205	50	2.3	M
1291	»1292	890	205	50	2.3	M
1292	»1293	890	205	50	2.3	M
1293	»1294	890	205	50	2.3	M
1294	»1295	890	205	50	2.3	M
1295	»1296	890	205	50	2.3	M
1296	»1297	895	205	50	2.3	M
1297	»1298	895	205	50	2.3	M
1298	»1299	895	205	50	2.3	M
1299	»1300	895	205	50	2.3	M
1300	»1301	895	205	50	2.3	M
1301	»1302	895	205	50	2.3	M
1302	»1303	895	205	50	2.3	M
1303	»1304	895	205	50	2.3	M
1304	»1305	895	205	50	2.3	M
1305	»1306	900	205	50	2.3	M
1306	»1307	900	205	50	2.3	M
1307	»1308	900	205	50	2.3	M
1308	»1309	900	205	50	2.3	M
1309	»1310	900	205	50	2.3	M
1310	»1311	900	210	50	2.3	M
1311	»1312	900	210	50	2.3	M
1312	»1313	900	210	50	2.3	M
1313	»1314	900	210	50	2.3	M
1314	»1315	900	210	50	2.3	M
1315	»1316	905	210	50	2.3	M
1316	»1317	905	210	55	2.3	M
1317	»1318	905	210	55	2.3	M
1318	»1319	905	210	55	2.3	M
1319	»1320	905	210	55	2.3	M
1320	»1321	905	210	55	2.3	M
1321	»1322	905	210	55	2.3	M
1322	»1323	905	210	55	2.3	M
1323	»1324	905	210	55	2.3	M
1324	»1325	910	210	55	2.3	M
1325	»1326	910	210	55	2.3	M
1326	»1327	910	210	55	2.3	M
1327	»1328	910	210	55	2.3	M
1328	»1329	910	210	55	2.3	M
1329	»1330	910	210	55	2.3	M
1330	»1331	910	210	55	2.3	M
1331	»1332	910	210	55	2.3	M
1332	»1333	910	210	55	2.3	M
1333	»1334	915	210	55	2.3	M
1334	»1335	915	210	55	2.3	M
1335	»1336	915	215	55	2.3	M
1336	»1337	915	215	55	2.3	M
1337	»1338	915	215	55	2.3	M
1338	»1339	915	215	55	2.3	M
1339	»1340	915	215	55	2.3	M
1340	»1341	915	215	55	2.3	M
1341	»1342	915	215	55	2.3	M
1342	»1343	920	215	55	2.3	M
1343	»1344	920	215	55	2.3	M
1344	»1345	920	215	55	2.3	M
1345	»1346	920	215	55	2.3	M
1346	»1347	920	215	55	2.3	M
1347	»1348	920	215	55	2.3	M
1348	»1349	920	215	55	2.3	M
1349	»1350	920	215	55	2.3	M
1350	»1351	920	215	55	2.3	M
1351	»1352	925	215	55	2.4	M
1352	»1353	925	215	55	2.4	M
1353	»1354	925	215	55	2.4	M
1354	»1355	925	215	55	2.4	M
1355	»1356	925	215	55	2.4	M
1356	»1357	925	215	60	2.4	M
1357	»1358	925	215	60	2.4	M
1358	»1359	925	215	60	2.4	M
1359	»1360	925	215	60	2.4	M
1360	»1361	930	220	60	2.4	M
1361	»1362	930	220	60	2.4	M
1362	»1363	930	220	60	2.4	M
1363	»1364	930	220	60	2.4	M
1364	»1365	930	220	60	2.4	M
1365	»1366	930	220	60	2.4	M
1366	»1367	930	220	60	2.4	M
1367	»1368	930	220	60	2.4	M
1368	»1369	930	220	60	2.4	M
1369	»1370	930	220	60	2.4	M
1370	»1371	935	220	60	2.4	M
1371	»1372	935	220	60	2.4	M
1372	»1373	935	220	60	2.4	M
1373	»1374	935	220	60	2.4	M
1374	»1375	935	220	60	2.4	M
1375	»1376	935	220	60	2.4	M
1376	»1377	935	220	60	2.4	M
1377	»1378	935	220	60	2.4	M
1378	»1379	935	220	60	2.4	M
1379	»1380	940	220	60	2.4	M
1380	»1381	940	220	60	2.4	M
1381	»1382	940	220	60	2.4	M
1382	»1383	940	220	60	2.4	M
1383	»1384	940	220	60	2.4	M
1384	»1385	940	220	60	2.4	M
1385	»1386	940	225	60	2.4	M
1386	»1387	940	225	60	2.4	M
1387	»1388	940	225	60	2.4	M
1388	»1389	945	225	60	2.4	M
1389	»1390	945	225	60	2.4	M
1390	»1391	945	225	60	2.4	M
1391	»1392	945	225	60	2.4	M
1392	»1393	945	225	60	2.4	M
1393	»1394	945	225	60	2.4	M
1394	»1395	945	225	60	2.4	M
1395	»1396	945	225	60	2.4	M
1396	»1397	945	225	65	2.4	M
1397	»1398	950	225	65	2.4	M
1398	»1399	950	225	65	2.4	M
1399	»1400	950	225	65	2.4	M
1400	»1401	950	225	65	2.4	M
1401	»1402	950	225	65	2.4	M
1402	»1403	950	225	65	2.4	M
1403	»1404	950	225	65	2.4	M
1404	»1405	950	225	65	2.4	M
1405	»1406	950	225	65	2.4	M
1406	»1407	955	225	65	2.4	M
1407	»1408	955	225	65	2.4	M
1408	»1409	955	225	65	2.4	M
1409	»1410	955	225	65	2.4	M
1410	»1411	955	230	65	2.4	M
1411	»1412	955	230	65	2.4	M
1412	»1413	955	230	65	2.4	M
1413	»1414	955	230	65	2.4	M
1414	»1415	955	230	65	2.4	M
1415	»1416	955	230	65	2.4	M
1416	»1417	960	230	65	2.4	M
1417	»1418	960	230	65	2.4	M
1418	»1419	960	230	65	2.4	M
1419	»1420	960	230	65	2.4	M
1420	»1421	960	230	65	2.4	M
1421	»1422	960	230	65	2.4	M
1422	»1423	960	230	65	2.4	M
1423	»1424	960	230	65	2.4	M
1424	»1425	960	230	65	2.4	M
1425	»1426	965	230	65	2.5	M
1426	»1427	965	230	65	2.5	M
1427	»1428	965	230	65	2.5	M
1428	»1429	965	230	65	2.5	M
1429	»1430	965	230	65	2.5	M
1430	»1431	965	230	65	2.5	M
1431	»1432	965	230	65	2.5	M
1432	»1433	965	230	65	2.5	M
1433	»1434	965	230	65	2.5	M
1434	»1435	970	230	65	2.5	M
1435	»1436	970	230	65	2.5	M
1436	»1437	970	235	65	2.5	M
1437	»1438	970	235	65	2.5	M
1438	»1439	970	235	70	2.5	M
1439	»1440	970	235	70	2.5	M
1440	»1441	970	235	70	2.5	M
1441	»1442	970	235	70	2.5	M
1442	»1443	970	235	70	2.5	M
1443	»1444	970	235	70	2.5	M
1444	»1445	970	235	70	2.5	M
1445	»1446	970	235	70	2.5	M
1446	»1447	975	235	70	2.5	M
1447	»1448	975	235	70	2.5	M
1448	»1449	975	235	70	2.5	M
1449	»1450	975	235	70	2.5	M
1450	»1451	975	235	70	2.5	M
1451	»1452	975	235	70	2.5	M
1452	»1453	975	235	70	2.5	M
1453	»1454	980	235	70	2.5	M
1454	»1455	980	235	70	2.5	M
1455	»1456	980	235	70	2.5	M
1456	»1457	980	235	70	2.5	M
1457	»1458	980	235	70	2.5	M
1458	»1459	980	235	70	2.5	M
1459	»1460	980	235	70	2.5	M
1460	»1461	980	235	70	2.5	M
1461	»1462	980	240	70	2.5	M
1462	»1463	985	240	70	2.5	M
1463	»1464	985	240	70	2.5	M
1464	»1465	985	240	70	2.5	M
1465	»1466	985	240	70	2.5	M
1466	»1467	985	240	70	2.5	M
1467	»1468	985	240	70	2.5	M
1468	»1469	985	240	70	2.5	M
1469	»1470	985	240	70	2.5	M
1470	»1471	985	240	70	2.5	M
1471	»1472	990	240	70	2.5	M
1472	»1473	990	240	70	2.5	M
1473	»1474	990	240	70	2.5	M
1474	»1475	990	240	70	2.5	M
1475	»1476	990	240	70	2.5	M
1476	»1477	990	240	70	2.5	M
1477	»1478	990	240	70	2.5	M
1478	»1479	990	240	70	2.5	M
1479	»1480	990	240	70	2.5	M
1480	»1481	990	240	70	2.5	M
1481	»1482	995	240	75	2.5	M
1482	»1483	995	240	75	2.5	M
1483	»1484	995	240	75	2.5	M
1484	»1485	995	240	75	2.5	M
1485	»1486	995	240	75	2.5	M
1486	»1487	995	240	75	2.5	M
1487	»1488	995	245	75	2.5	M
1488	»1489	995	245	75	2.5	M
1489	»1490	995	245	75	2.5	M
1490	»1491	1000	245	75	2.5	M
1491	»1492	1000	245	75	2.5	M
1492	»1493	1000	245	75	2.5	M
1493	»1494	1000	245	75	2.5	M
1494	»1495	1000	245	75	2.5	M
1495	»1496	1000	245	75	2.5	M
1496	»1497	1000	245	75	2.5	M
1497	»1498	1000	245	75	2.5	M
1498	»1499	1000	245	75	2.5	M
1499	»1500	1000	245	75	2.5	M
