Level	Light Power	Light Power (calculated)	Upgrade	Regent	Regent (Est.)
84	4,963,000	4,963,000	84 » 85	75	
85	5,068,000	5,068,000	85 » 86	75	
86	5,173,000	5,173,000	86 » 87	75	
87	5,278,000	5,278,000	87 » 88	75	
88	5,383,000	5,383,000	88 » 89	75	
89	5,488,000	5,488,000	89 » 90	75	
90	5,593,000	5,593,000	90 » 91	80	
91	5,705,000	5,705,000	91 » 92	80	
92	5,817,000	5,817,000	92 » 93	80	
93	5,929,000	5,929,000	93 » 94	80	
94	6,041,000	6,041,000	94 » 95	80	
95	6,153,000	6,153,000	95 » 96	80	
96	6,265,000	6,265,000	96 » 97	80	
97	6,377,000	6,377,000	97 » 98	85	
98	6,496,000	6,496,000	98 » 99	85	
99	6,615,000	6,615,000	99 » 100	85	
100	6,734,000	6,734,000	100 » 101	85	
101	6,853,000	6,853,000	101 » 102	85	
102	6,972,000	6,972,000	102 » 103	85	
103	7,091,000	7,091,000	103 » 104	85	
104	7,210,000	7,210,000	104 » 105	85	
105	7,329,000	7,329,000	105 » 106	90	
106	7,455,000	7,455,000	106 » 107	90	
107	7,581,000	7,581,000	107 » 108	90	
108	7,707,000	7,707,000	108 » 109	90	
109	7,833,000	7,833,000	109 » 110	90	
110	7,959,000	7,959,000	110 » 111	90	
111	8,085,000	8,085,000	111 » 112	90	
112	8,211,000	8,211,000	112 » 113	90	
113	8,337,000	8,337,000	113 » 114	95	
114	8,470,000	8,470,000	114 » 115	95	
115	8,603,000	8,603,000	115 » 116	95	
116	8,736,000	8,736,000	116 » 117	95	
117	8,869,000	8,869,000	117 » 118	95	
118	9,002,000	9,002,000	118 » 119	95	
119	9,135,000	9,135,000	119 » 120	95	
120	9,268,000	9,268,000	120 » 121	95	
121	9,401,000	9,401,000	121 » 122	100	
122	9,541,000	9,541,000	122 » 123	100	
123	9,681,000	9,681,000	123 » 124	100	
124	9,821,000	9,821,000	124 » 125	100	
125	9,961,000	9,961,000	125 » 126	100	
126	10,101,000	10,101,000	126 » 127	100	
127	10,241,000	10,241,000	127 » 128	100	
128	10,381,000	10,381,000	128 » 129	100	
129	10,521,000	10,521,000	129 » 130	105	
130	10,668,000	10,668,000	130 » 131	105	
131	10,815,000	10,815,000	131 » 132	105	
132	10,962,000	10,962,000	132 » 133	105	
133	11,109,000	11,109,000	133 » 134	105	
134	11,256,000	11,256,000	134 » 135	105	
135	11,403,000	11,403,000	135 » 136	105	
136	11,550,000	11,550,000	136 » 137	105	
137	11,697,000	11,697,000	137 » 138	110	
138	11,851,000	11,851,000	138 » 139	110	
139	12,005,000	12,005,000	139 » 140	110	
140	12,159,000	12,159,000	140 » 141	110	
141	12,313,000	12,313,000	141 » 142	110	
142	12,467,000	12,467,000	142 » 143	110	
143	12,621,000	12,621,000	143 » 144	110	
144	12,775,000	12,775,000	144 » 145	110	
145	12,929,000	12,929,000	145 » 146	115	
146	13,090,000	13,090,000	146 » 147	115	
147	13,251,000	13,251,000	147 » 148	115	
148	13,412,000	13,412,000	148 » 149	115	
149	13,573,000	13,573,000	149 » 150	115	
150	13,734,000	13,734,000	150 » 151	115	
151	13,895,000	13,895,000	151 » 152	115	
152	14,056,000	14,056,000	152 » 153	115	
153	14,217,000	14,217,000	153 » 154	120	
154	14,385,000	14,385,000	154 » 155	120	
155	14,553,000	14,553,000	155 » 156	120	
156	14,721,000	14,721,000	156 » 157	120	
157	14,889,000	14,889,000	157 » 158	120	
158	15,057,000	15,057,000	158 » 159	120	
159	15,225,000	15,225,000	159 » 160	120	
160	15,393,000	15,393,000	160 » 161	120	
161	15,561,000	15,561,000	161 » 162	120	
162	15,729,000	15,729,000	162 » 163	125	
163	15,904,000	15,904,000	163 » 164	125	
164	16,079,000	16,079,000	164 » 165	125	
165	16,254,000	16,254,000	165 » 166	125	
166	16,429,000	16,429,000	166 » 167	125	
167	16,604,000	16,604,000	167 » 168	125	
168	16,779,000	16,779,000	168 » 169	125	
169	16,954,000	16,954,000	169 » 170	125	
170	17,129,000	17,129,000	170 » 171	130	
171	17,311,000	17,311,000	171 » 172	130	
172	17,493,000	17,493,000	172 » 173	130	
173	17,675,000	17,675,000	173 » 174	130	
174	17,857,000	17,857,000	174 » 175	130	
175	18,039,000	18,039,000	175 » 176	130	
176	18,221,000	18,221,000	176 » 177	130	
177	18,403,000	18,403,000	177 » 178	130	
178	18,585,000	18,585,000	178 » 179	130	
179	18,767,000	18,767,000	179 » 180	135	
180	18,956,000	18,956,000	180 » 181	135	
181	19,145,000	19,145,000	181 » 182	135	
182	19,334,000	19,334,000	182 » 183	135	
183	19,523,000	19,523,000	183 » 184	135	
184	19,712,000	19,712,000	184 » 185	135	
185	19,901,000	19,901,000	185 » 186	135	
186	20,090,000	20,090,000	186 » 187	135	
187	20,279,000	20,279,000	187 » 188	140	
188	20,475,000	20,475,000	188 » 189	140	
189	20,671,000	20,671,000	189 » 190	140	
190	20,867,000	20,867,000	190 » 191	140	
191	21,063,000	21,063,000	191 » 192	140	
192	21,259,000	21,259,000	192 » 193	140	
193	21,455,000	21,455,000	193 » 194	140	
194	21,651,000	21,651,000	194 » 195	140	
195	21,847,000	21,847,000	195 » 196	140	
196	22,043,000	22,043,000	196 » 197	145	
197	22,246,000	22,246,000	197 » 198	145	
198	22,449,000	22,449,000	198 » 199	145	
199	22,652,000	22,652,000	199 » 200	145	
200	22,855,000	22,855,000	200 » 201	145	
201	23,058,000	23,058,000	201 » 202	145	
202	23,261,000	23,261,000	202 » 203	145	
203	23,464,000	23,464,000	203 » 204	145	
204	23,667,000	23,667,000	204 » 205	145	
205	23,870,000	23,870,000	205 » 206	150	
206	24,080,000	24,080,000	206 » 207	150	
207	24,290,000	24,290,000	207 » 208	150	
208	24,500,000	24,500,000	208 » 209	150	
209	24,710,000	24,710,000	209 » 210	150	
210	24,920,000	24,920,000	210 » 211	150	
211	25,130,000	25,130,000	211 » 212	150	
212	25,340,000	25,340,000	212 » 213	150	
213	25,550,000	25,550,000	213 » 214	150	
214	25,760,000	25,760,000	214 » 215	155	
215	25,977,000	25,977,000	215 » 216	155	
216	26,194,000	26,194,000	216 » 217	155	
217	26,411,000	26,411,000	217 » 218	155	
218	26,628,000	26,628,000	218 » 219	155	
219	26,845,000	26,845,000	219 » 220	155	
220	27,062,000	27,062,000	220 » 221	155	
221	27,279,000	27,279,000	221 » 222	155	
222	27,496,000	27,496,000	222 » 223	155	
223	27,713,000	27,713,000	223 » 224	160	
224	27,937,000	27,937,000	224 » 225	160	
225	28,161,000	28,161,000	225 » 226	160	
226	28,385,000	28,385,000	226 » 227	160	
227	28,609,000	28,609,000	227 » 228	160	
228	28,833,000	28,833,000	228 » 229	160	
229	29,057,000	29,057,000	229 » 230	160	
230	29,281,000	29,281,000	230 » 231	160	
231	29,505,000	29,505,000	231 » 232	160	
232	29,729,000	29,729,000	232 » 233	165	
233	29,960,000	29,960,000	233 » 234	165	
234	30,191,000	30,191,000	234 » 235	165	
235	30,422,000	30,422,000	235 » 236	165	
236	30,653,000	30,653,000	236 » 237	165	
237	30,884,000	30,884,000	237 » 238	165	
238	31,115,000	31,115,000	238 » 239	165	
239	31,346,000	31,346,000	239 » 240	165	
240	31,577,000	31,577,000	240 » 241	165	
241	31,808,000	31,808,000	241 » 242	170	
242	32,046,000	32,046,000	242 » 243	170	
243	32,284,000	32,284,000	243 » 244	170	
244	32,522,000	32,522,000	244 » 245	170	
245	32,760,000	32,760,000	245 » 246	170	
246	32,998,000	32,998,000	246 » 247	170	
247	33,236,000	33,236,000	247 » 248	170	
248	33,474,000	33,474,000	248 » 249	170	
249	33,712,000	33,712,000	249 » 250	170	
250	33,950,000	33,950,000	250 » 251	175	
251	34,195,000	34,195,000	251 » 252	175	
252	34,440,000	34,440,000	252 » 253	175	
253	34,685,000	34,685,000	253 » 254	175	
254	34,930,000	34,930,000	254 » 255	175	
255	35,175,000	35,175,000	255 » 256	175	
256	35,420,000	35,420,000	256 » 257	175	
257	35,665,000	35,665,000	257 » 258	175	
258	35,910,000	35,910,000	258 » 259	175	
259	36,155,000	36,155,000	259 » 260	175	
260	36,400,000	36,400,000	260 » 261	180	
261	36,652,000	36,652,000	261 » 262	180	
262	36,904,000	36,904,000	262 » 263	180	
263	37,156,000	37,156,000	263 » 264	180	
264	37,408,000	37,408,000	264 » 265	180	
265	37,660,000	37,660,000	265 » 266	180	
266	37,912,000	37,912,000	266 » 267	180	
267	38,164,000	38,164,000	267 » 268	180	
268	38,416,000	38,416,000	268 » 269	180	
269	38,668,000	38,668,000	269 » 270	185	
270	38,927,000	38,927,000	270 » 271	185	
271	39,186,000	39,186,000	271 » 272	185	
272	39,445,000	39,445,000	272 » 273	185	
273	39,704,000	39,704,000	273 » 274	185	
274	39,963,000	39,963,000	274 » 275	185	
275	40,222,000	40,222,000	275 » 276	185	
276	40,481,000	40,481,000	276 » 277	185	
277	40,740,000	40,740,000	277 » 278	185	
278	40,999,000	40,999,000	278 » 279	190	
279	41,265,000	41,265,000	279 » 280	190	
280	41,531,000	41,531,000	280 » 281	190	
281	41,797,000	41,797,000	281 » 282	190	
282	42,063,000	42,063,000	282 » 283	190	
283	42,329,000	42,329,000	283 » 284	190	
284	42,595,000	42,595,000	284 » 285	190	
285	42,861,000	42,861,000	285 » 286	190	
286	43,127,000	43,127,000	286 » 287	190	
287	43,393,000	43,393,000	287 » 288	190	
288	43,659,000	43,659,000	288 » 289	195	
289	43,932,000	43,932,000	289 » 290	195	
290	44,205,000	44,205,000	290 » 291	195	
291	44,478,000	44,478,000	291 » 292	195	
292	44,751,000	44,751,000	292 » 293	195	
293	45,024,000	45,024,000	293 » 294	195	
294	45,297,000	45,297,000	294 » 295	195	
295	45,570,000	45,570,000	295 » 296	195	
296	45,843,000	45,843,000	296 » 297	195	
297	46,116,000	46,116,000	297 » 298	200	
298	46,396,000	46,396,000	298 » 299	200	
299	46,676,000	46,676,000	299 » 300	200	
300	46,956,000	46,956,000	300 » 301	200	
301	47,236,000	47,236,000	301 » 302	200	
302	47,516,000	47,516,000	302 » 303	200	
303	47,796,000	47,796,000	303 » 304	200	
304	48,076,000	48,076,000	304 » 305	200	
305	48,356,000	48,356,000	305 » 306	200	
306	48,636,000	48,636,000	306 » 307	200	
307	48,916,000	48,916,000	307 » 308	205	
308	49,203,000	49,203,000	308 » 309	205	
309	49,490,000	49,490,000	309 » 310	205	
310	49,777,000	49,777,000	310 » 311	205	
311	50,064,000	50,064,000	311 » 312	205	
312	50,351,000	50,351,000	312 » 313	205	
313	50,638,000	50,638,000	313 » 314	205	
314	50,925,000	50,925,000	314 » 315	205	
315	51,212,000	51,212,000	315 » 316	205	
316	51,499,000	51,499,000	316 » 317	210	
317	51,793,000	51,793,000	317 » 318	210	
318	52,087,000	52,087,000	318 » 319	210	
319	52,381,000	52,381,000	319 » 320	210	
320	52,675,000	52,675,000	320 » 321	210	
321	52,969,000	52,969,000	321 » 322	210	
322	53,263,000	53,263,000	322 » 323	210	
323	53,557,000	53,557,000	323 » 324	210	
324	53,851,000	53,851,000	324 » 325	210	
325	54,145,000	54,145,000	325 » 326	210	
326	54,439,000	54,439,000	326 » 327	215	
327	54,740,000	54,740,000	327 » 328	215	
328	55,041,000	55,041,000	328 » 329	215	
329	55,342,000	55,342,000	329 » 330	215	
330	55,643,000	55,643,000	330 » 331	215	
331	55,944,000	55,944,000	331 » 332	215	
332	56,245,000	56,245,000	332 » 333	215	
333	56,546,000	56,546,000	333 » 334	215	
334	56,847,000	56,847,000	334 » 335	215	
335	57,148,000	57,148,000	335 » 336	215	
336	57,449,000	57,449,000	336 » 337	220	
337	57,757,000	57,757,000	337 » 338	220	
338	58,065,000	58,065,000	338 » 339	220	
339	58,373,000	58,373,000	339 » 340	220	
340	58,681,000	58,681,000	340 » 341	220	
341	58,989,000	58,989,000	341 » 342	220	
342	59,297,000	59,297,000	342 » 343	220	
343	59,605,000	59,605,000	343 » 344	220	
344	59,913,000	59,913,000	344 » 345	220	
345	60,221,000	60,221,000	345 » 346	220	
346	60,529,000	60,529,000	346 » 347	225	
347	60,844,000	60,844,000	347 » 348	225	
348	61,159,000	61,159,000	348 » 349	225	
349	61,474,000	61,474,000	349 » 350	225	
350	61,789,000	61,789,000	350 » 351	225	
351	62,104,000	62,104,000	351 » 352	225	
352	62,419,000	62,419,000	352 » 353	225	
353	62,734,000	62,734,000	353 » 354	225	
354	63,049,000	63,049,000	354 » 355	225	
355	63,364,000	63,364,000	355 » 356	230	
356	63,686,000	63,686,000	356 » 357	230	
357	64,008,000	64,008,000	357 » 358	230	
358	64,330,000	64,330,000	358 » 359	230	
359	64,652,000	64,652,000	359 » 360	230	
360	64,974,000	64,974,000	360 » 361	230	
361	65,296,000	65,296,000	361 » 362	230	
362	65,618,000	65,618,000	362 » 363	230	
363	65,940,000	65,940,000	363 » 364	230	
364	66,262,000	66,262,000	364 » 365	230	
365	66,584,000	66,584,000	365 » 366	235	
366	66,913,000	66,913,000	366 » 367	235	
367	67,242,000	67,242,000	367 » 368	235	
368	67,571,000	67,571,000	368 » 369	235	
369	67,900,000	67,900,000	369 » 370	235	
370	68,229,000	68,229,000	370 » 371	235	
371	68,558,000	68,558,000	371 » 372	235	
372	68,887,000	68,887,000	372 » 373	235	
373	69,216,000	69,216,000	373 » 374	235	
374	69,545,000	69,545,000	374 » 375	235	
375	69,874,000	69,874,000	375 » 376	240	
376	70,210,000	70,210,000	376 » 377	240	
377	70,546,000	70,546,000	377 » 378	240	
378	70,882,000	70,882,000	378 » 379	240	
379	71,218,000	71,218,000	379 » 380	240	
380	71,554,000	71,554,000	380 » 381	240	
381	71,890,000	71,890,000	381 » 382	240	
382	72,226,000	72,226,000	382 » 383	240	
383	72,562,000	72,562,000	383 » 384	240	
384	72,898,000	72,898,000	384 » 385	240	
385	73,234,000	73,234,000	385 » 386	245	
386	73,577,000	73,577,000	386 » 387	245	
387	73,920,000	73,920,000	387 » 388	245	
388	74,263,000	74,263,000	388 » 389	245	
389	74,606,000	74,606,000	389 » 390	245	
390	74,949,000	74,949,000	390 » 391	245	
391	75,292,000	75,292,000	391 » 392	245	
392	75,635,000	75,635,000	392 » 393	245	
393	75,978,000	75,978,000	393 » 394	245	
394	76,321,000	76,321,000	394 » 395	245	
395	76,664,000	76,664,000	395 » 396	250	
396	77,014,000	77,014,000	396 » 397	250	
397	77,364,000	77,364,000	397 » 398	250	
398	77,714,000	77,714,000	398 » 399	250	
399	78,064,000	78,064,000	399 » 400	250	
400	78,414,000	78,414,000	400 » 401	250	
401	78,764,000	78,764,000	401 » 402	250	
402	79,114,000	79,114,000	402 » 403	250	
403	79,464,000	79,464,000	403 » 404	250	
404	79,814,000	79,814,000	404 » 405	250	
405	80,164,000	80,164,000	405 » 406	250	
406	80,514,000	80,514,000	406 » 407	255	
407	80,871,000	80,871,000	407 » 408	255	
408	81,228,000	81,228,000	408 » 409	255	
409	81,585,000	81,585,000	409 » 410	255	
410	81,942,000	81,942,000	410 » 411	255	
411	82,299,000	82,299,000	411 » 412	255	
412	82,656,000	82,656,000	412 » 413	255	
413	83,013,000	83,013,000	413 » 414	255	
414	83,370,000	83,370,000	414 » 415	255	
415	83,727,000	83,727,000	415 » 416	255	
416	84,084,000	84,084,000	416 » 417	260	
417	84,448,000	84,448,000	417 » 418	260	
418	84,812,000	84,812,000	418 » 419	260	
419	85,176,000	85,176,000	419 » 420	260	
420	85,540,000	85,540,000	420 » 421	260	
421	85,904,000	85,904,000	421 » 422	260	
422	86,268,000	86,268,000	422 » 423	260	
423	86,632,000	86,632,000	423 » 424	260	
424	86,996,000	86,996,000	424 » 425	260	
425	87,360,000	87,360,000	425 » 426	260	
426	87,724,000	87,724,000	426 » 427	265	
427	88,095,000	88,095,000	427 » 428	265	
428	88,466,000	88,466,000	428 » 429	265	
429	88,837,000	88,837,000	429 » 430	265	
430	89,208,000	89,208,000	430 » 431	265	
431	89,579,000	89,579,000	431 » 432	265	
432	89,950,000	89,950,000	432 » 433	265	
433	90,321,000	90,321,000	433 » 434	265	
434	90,692,000	90,692,000	434 » 435	265	
435	91,063,000	91,063,000	435 » 436	265	
436	91,434,000	91,434,000	436 » 437	270	
437	91,812,000	91,812,000	437 » 438	270	
438	92,190,000	92,190,000	438 » 439	270	
439	92,568,000	92,568,000	439 » 440	270	
440	92,946,000	92,946,000	440 » 441	270	
441	93,324,000	93,324,000	441 » 442	270	
442	93,702,000	93,702,000	442 » 443	270	
443	94,080,000	94,080,000	443 » 444	270	
444	94,458,000	94,458,000	444 » 445	270	
445	94,836,000	94,836,000	445 » 446	270	
446	95,214,000	95,214,000	446 » 447	270	
447	95,592,000	95,592,000	447 » 448	275	
448	95,977,000	95,977,000	448 » 449	275	
449	96,362,000	96,362,000	449 » 450	275	
450	96,747,000	96,747,000	450 » 451	275	
451	97,132,000	97,132,000	451 » 452	275	
452	97,517,000	97,517,000	452 » 453	275	
453	97,902,000	97,902,000	453 » 454	275	
454	98,287,000	98,287,000	454 » 455	275	
455	98,672,000	98,672,000	455 » 456	275	
456	99,057,000	99,057,000	456 » 457	275	
457	99,442,000	99,442,000	457 » 458	280	
458	99,834,000	99,834,000	458 » 459	280	
459	100,226,000	100,226,000	459 » 460	280	
460	100,618,000	100,618,000	460 » 461	280	
461	101,010,000	101,010,000	461 » 462	280	
462	101,402,000	101,402,000	462 » 463	280	
463	101,794,000	101,794,000	463 » 464	280	
464	102,186,000	102,186,000	464 » 465	280	
465	102,578,000	102,578,000	465 » 466	280	
466	102,970,000	102,970,000	466 » 467	280	
467	103,362,000	103,362,000	467 » 468	285	
468	103,761,000	103,761,000	468 » 469	285	
469	104,160,000	104,160,000	469 » 470	285	
470	104,559,000	104,559,000	470 » 471	285	
471	104,958,000	104,958,000	471 » 472	285	
472	105,357,000	105,357,000	472 » 473	285	
473	105,756,000	105,756,000	473 » 474	285	
474	106,155,000	106,155,000	474 » 475	285	
475	106,554,000	106,554,000	475 » 476	285	
476	106,953,000	106,953,000	476 » 477	285	
477	107,352,000	107,352,000	477 » 478	285	
478	107,751,000	107,751,000	478 » 479	290	
479	108,157,000	108,157,000	479 » 480	290	
480	108,563,000	108,563,000	480 » 481	290	
481	108,969,000	108,969,000	481 » 482	290	
482	109,375,000	109,375,000	482 » 483	290	
483	109,781,000	109,781,000	483 » 484	290	
484	110,187,000	110,187,000	484 » 485	290	
485	110,593,000	110,593,000	485 » 486	290	
486	110,999,000	110,999,000	486 » 487	290	
487	111,405,000	111,405,000	487 » 488	290	
488	111,811,000	111,811,000	488 » 489	295	
489	112,224,000	112,224,000	489 » 490	295	
490	112,637,000	112,637,000	490 » 491	295	
491	113,050,000	113,050,000	491 » 492	295	
492	113,463,000	113,463,000	492 » 493	295	
493	113,876,000	113,876,000	493 » 494	295	
494	114,289,000	114,289,000	494 » 495	295	
495	114,702,000	114,702,000	495 » 496	295	
496	115,115,000	115,115,000	496 » 497	295	
497	115,528,000	115,528,000	497 » 498	295	
498	115,941,000	115,941,000	498 » 499	295	
499	116,354,000	116,354,000	499 » 500	300	
500	116,774,000	116,774,000	500 » 501	300	
501	117,194,000	117,194,000	501 » 502	300	
502	117,614,000	117,614,000	502 » 503	300	
503	118,034,000	118,034,000	503 » 504	300	
504	118,454,000	118,454,000	504 » 505	300	
505	118,874,000	118,874,000	505 » 506	300	
506	119,294,000	119,294,000	506 » 507	300	
507	119,714,000	119,714,000	507 » 508	300	
508	120,134,000	120,134,000	508 » 509	300	
509	120,554,000	120,554,000	509 » 510	300	
510	120,974,000	120,974,000	510 » 511	305	
511	121,401,000	121,401,000	511 » 512	305	
512	121,828,000	121,828,000	512 » 513	305	
513	122,255,000	122,255,000	513 » 514	305	
514	122,682,000	122,682,000	514 » 515	305	
515	123,109,000	123,109,000	515 » 516	305	
516	123,536,000	123,536,000	516 » 517	305	
517	123,963,000	123,963,000	517 » 518	305	
518	124,390,000	124,390,000	518 » 519	305	
519	124,817,000	124,817,000	519 » 520	305	
520	125,244,000	125,244,000	520 » 521	310	
521	125,678,000	125,678,000	521 » 522	310	
522	126,112,000	126,112,000	522 » 523	310	
523	126,546,000	126,546,000	523 » 524	310	
524	126,980,000	126,980,000	524 » 525	310	
525	127,414,000	127,414,000	525 » 526	310	
526	127,848,000	127,848,000	526 » 527	310	
527	128,282,000	128,282,000	527 » 528	310	
528	128,716,000	128,716,000	528 » 529	310	
529	129,150,000	129,150,000	529 » 530	310	
530	129,584,000	129,584,000	530 » 531	310	
531	130,018,000	130,018,000	531 » 532	315	
532	130,459,000	130,459,000	532 » 533	315	
533	130,900,000	130,900,000	533 » 534	315	
534	131,341,000	131,341,000	534 » 535	315	
535	131,782,000	131,782,000	535 » 536	315	
536	132,223,000	132,223,000	536 » 537	315	
537	132,664,000	132,664,000	537 » 538	315	
538	133,105,000	133,105,000	538 » 539	315	
539	133,546,000	133,546,000	539 » 540	315	
540	133,987,000	133,987,000	540 » 541	315	
541	134,428,000	134,428,000	541 » 542	315	
542	134,868,992	134,869,000	542 » 543	320	
543	135,316,992	135,317,000	543 » 544	320	
544	135,764,992	135,765,000	544 » 545	320	
545	136,212,992	136,213,000	545 » 546	320	
546	136,660,992	136,661,000	546 » 547	320	
547	137,108,992	137,109,000	547 » 548	320	
548	137,556,992	137,557,000	548 » 549	320	
549	138,004,992	138,005,000	549 » 550	320	
550	138,452,992	138,453,000	550 » 551	320	
551	138,900,992	138,901,000	551 » 552	320	
552	139,348,992	139,349,000	552 » 553	325	
553	139,804,000	139,804,000	553 » 554	325	
554	140,259,008	140,259,000	554 » 555	325	
555	140,714,000	140,714,000	555 » 556	325	
556	141,168,992	141,169,000	556 » 557	325	
557	141,624,000	141,624,000	557 » 558	325	
558	142,079,008	142,079,000	558 » 559	325	
559	142,534,000	142,534,000	559 » 560	325	
560	142,988,992	142,989,000	560 » 561	325	
561	143,444,000	143,444,000	561 » 562	325	
562	143,899,008	143,899,000	562 » 563	325	
563	144,354,000	144,354,000	563 » 564	330	
564	144,816,000	144,816,000	564 » 565	330	
565	145,278,000	145,278,000	565 » 566	330	
566	145,740,000	145,740,000	566 » 567	330	
567	146,202,000	146,202,000	567 » 568	330	
568	146,664,000	146,664,000	568 » 569	330	
569	147,126,000	147,126,000	569 » 570	330	
570	147,588,000	147,588,000	570 » 571	330	
571	148,050,000	148,050,000	571 » 572	330	
572	148,512,000	148,512,000	572 » 573	330	
573	148,974,000	148,974,000	573 » 574	330	
574	149,436,000	149,436,000	574 » 575	335	
575	149,904,992	149,905,000	575 » 576	335	
576	150,374,000	150,374,000	576 » 577	335	
577	150,843,008	150,843,000	577 » 578	335	
578	151,312,000	151,312,000	578 » 579	335	
579	151,780,992	151,781,000	579 » 580	335	
580	152,250,000	152,250,000	580 » 581	335	
581	152,719,008	152,719,000	581 » 582	335	
582	153,188,000	153,188,000	582 » 583	335	
583	153,656,992	153,657,000	583 » 584	335	
584	154,126,000	154,126,000	584 » 585	335	
585	154,595,008	154,595,000	585 » 586	340	
586	155,071,008	155,071,000	586 » 587	340	
587	155,547,008	155,547,000	587 » 588	340	
588	156,023,008	156,023,000	588 » 589	340	
589	156,499,008	156,499,000	589 » 590	340	
590	156,975,008	156,975,000	590 » 591	340	
591	157,451,008	157,451,000	591 » 592	340	
592	157,927,008	157,927,000	592 » 593	340	
593	158,403,008	158,403,000	593 » 594	340	
594	158,879,008	158,879,000	594 » 595	340	
595	159,355,008	159,355,000	595 » 596	340	
596	159,831,008	159,831,000	596 » 597	345	
597	160,314,000	160,314,000	597 » 598	345	
598	160,796,992	160,797,000	598 » 599	345	
599	161,280,000	161,280,000	599 » 600	345	
600	161,763,008	161,763,000	600 » 601	345	
601	162,246,000	162,246,000	601 » 602	345	
602	162,728,992	162,729,000	602 » 603	345	
603	163,212,000	163,212,000	603 » 604	345	
604	163,695,008	163,695,000	604 » 605	345	
605	164,178,000	164,178,000	605 » 606	345	
606	164,660,992	164,661,000	606 » 607	345	
607	165,144,000	165,144,000	607 » 608	350	
608	165,634,000	165,634,000	608 » 609	350	
609	166,124,000	166,124,000	609 » 610	350	
610	166,614,000	166,614,000	610 » 611	350	
